Brand,Position,Previous Position,Brand Value ($M),Previous Brand Value ($M),Rating,Previous Rating,Year,Previous Year
Apple,1,1,355079.97,263374.7,AAA,AAA,,
Amazon,2,2,350273.25,254187.58,AAA+,AAA+,,
Google,3,3,263424.93,191214.84,AAA+,AAA,,
Microsoft,4,4,184244.52,140435.35,AAA,AAA,,
Walmart,5,6,111918.32,93185.28,AAA-,AA+,,
Samsung Group,6,5,107284,102623,AAA-,AAA-,,
Facebook,7,7,101200.52,81476.37,AA+,AA+,,
ICBC,8,8,75119.27,72788.38,AAA+,AAA,,
Huawei,9,15,71232.74,55395.83,AAA-,AAA,,
Verizon,10,9,69639.25,68889.5,AAA-,AAA,,
China Construction Bank,11,11,65546.46,59649.12,AAA,AAA,,
Toyota,12,12,64283,59479,AAA,AAA,,
WeChat,13,10,62302.54,67901.98,AAA+,AAA+,,
Agricultural Bank Of China,14,19,62031.22,53134.09,AAA,AAA-,,
Mercedes-Benz,15,13,60760,58225,AAA-,AAA-,,
State Grid,16,16,60174.88,55202.86,AAA,AAA-,,
Deutsche Telekom,17,23,60168.74,51107.03,AAA-,AA+,,
TikTok/Douyin,18,-,58979.93,-,AA+,-,,
Disney,19,22,57059.42,51244.01,AAA+,AAA+,,
Home Depot,20,20,56312.3,52917.39,AAA-,AAA,,
Ping An,21,17,54354,54579,AAA-,AAA-,,
Taobao,22,18,53761.5,53335.29,AAA-,AAA,,
Shell,23,28,49925.43,42156.08,AAA-,AAA,,
Bank of China,24,25,49553.38,48689.28,AAA,AAA,,
Tmall,25,24,49182.43,49178.92,AA+,AAA,,
AT&T,26,21,47008.54,51372.34,AA,AA,,
Tencent,27,14,46652.5,56432.39,AAA-,AAA,,
Tesla,28,42,46009.69,31985.9,AA+,AA+,,
Starbucks,29,31,45699.13,38440.12,AAA,AAA-,,
Allianz Group,30,-,45203.47,-,AAA-,-,,
Aramco,31,33,43636.86,37478.64,AA,AA,,
Moutai,32,27,42905.18,45333.22,AAA,AAA,,
Volkswagen,33,26,41046,47020,AAA-,AAA-,,
China Mobile,34,32,40902.69,37558.89,AAA-,AAA-,,
