"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Apple",1,8,"70605.16","29542.67","AAA+","AAA",,
"Google",2,1,"47462.77","44294.18","AAA+","AAA+",,
"Microsoft",3,2,"45811.99","42805.16","AAA+","AAA+",,
"IBM",4,4,"39135.21","36156.60","AA+","AA+",,
"Walmart",5,3,"38319.50","36220.11","AA","AA",,
"Samsung",6,"-","38197.00","-","AAA-","-",,
"General Electric",7,7,"33214.19","30503.57","AA+","AA+",,
"Coca-Cola",8,16,"31082.03","25806.56","AAA+","AAA+",,
"Vodafone",9,5,"30044.05","30674.28","AAA+","AAA+",,
"Amazon",10,31,"28664.84","17779.61","AA+","AA",,
"AT&T",11,10,"28379.39","28883.71","AA+","AA+",,
"Verizon",12,12,"27616.18","27293.41","AA","AA",,
"HSBC",13,11,"27597.21","27632.11","AAA","AAA",,
"NTT Group",14,"-","26324.00","-","AAA-","-",,
"Toyota",15,14,"24460.72","26151.70","AA","AA+",,
"Wells Fargo",16,9,"23229.19","28944.38","AA+","AA+",,
"Bank of America",17,6,"22910.00","30618.64","AA+","AAA-",,
"McDonald's",18,17,"22230.04","21841.74","AAA","AAA",,
"Shell",19,29,"22021.49","18605.05","AAA-","AAA-",,
"Intel",20,26,"21907.61","19077.73","AA+","AA+",,
"HP",21,13,"21706.99","26756.12","AA+","AA+",,
"BMW",22,23,"21261.53","20156.91","AAA-","AA+",,
"Home Depot",23,22,"20902.11","20422.92","AA-","AA-",,
"Tesco",24,19,"20050.61","21129.38","AAA-","AAA",,
"Santander",25,15,"19969.17","26149.84","AAA-","AAA",,
"Mercedes-Benz",26,20,"19761.79","20797.66","AAA-","AA",,
"Mitsubishi Group",27,"-","19488.09","-","AA","-",,
"Chase",28,25,"18963.79","19150.03","AA+","AA-",,
"Citi",29,35,"18638.56","17133.34","AA+","AA",,
"Nike",30,30,"18619.39","18436.88","AAA","AAA",,
"Orange",31,28,"18556.99","18622.33","AA+","AA+",,
"American Express",32,45,"18230.89","15530.00","AAA-","AA",,
"UPS",33,37,"18082.54","17012.22","AA+","AA+",,
"China Mobile",34,24,"17919.33","19316.65","AA","AA",,
"Volkswagen",35,62,"17757.81","12704.00","AA","A+",,
"Ford",36,39,"17559.28","16661.82","AA+","AA+",,
"Chevron",37,43,"17510.51","16265.09","AA+","AA",,
"Pepsi",38,53,"17096.31","14362.69","AAA-","AA+",,
"Oracle",39,51,"17031.04","14602.22","AA+","AA",,
"BNP Paribas",40,41,"16808.67","16643.30","AA+","AAA-",,
"GDF Suez",41,61,"16597.75","12902.31","AA","AA",,
"ExxonMobil",42,54,"16418.69","13755.97","AAA-","AA+",,
"Hitachi Group",43,"-","16390.70","-","AA-","-",,
"Tata Group",44,49,"16342.94","15086.56","AAA-","AAA-",,
"Siemens",45,38,"16320.45","16768.64","AA+","AA+",,
"Bradesco",46,27,"15692.18","18677.84","AAA-","AAA",,
"China Construction Bank",47,36,"15464.06","17092.13","AA","AA",,
"Mitsui Group",48,"-","15405.07","-","AA-","-",,
"Walt Disney",49,46,"15391.85","15424.16","AAA","AAA+",,
