"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Walmart",1,4,"40615.97","39001.01","AA","A",,
"Coca-Cola",2,1,"32727.85","45440.81","AAA+","AAA+",,
"IBM",3,5,"31530.02","37948.58","AA","AA",,
"Microsoft",4,2,"30882.04","44500.59","AAA+","AAA",,
"Google",5,3,"29260.62","43084.00","AAA","AAA",,
"GE",6,6,"26653.60","36122.00","AA","AA+",,
"HSBC",7,7,"25364.17","35455.88","AAA+","AAA",,
"Vodafone",8,11,"24646.68","26593.78","AAA","AA+",,
"HP",9,8,"23837.45","34109.05","AA+","AA",,
"Toyota",10,12,"21994.59","26055.91","AAA","AA",,
"Bank of America",11,15,"21017.43","25417.05","AAA","AA+",,
"McDonald's",12,21,"20002.80","21811.64","AAA-","AAA",,
"Nokia",13,9,"19889.40","33116.16","AAA-","AAA-",,
"AT&T",14,18,"19849.94","24601.18","AA+","AA-",,
"Verizon",15,19,"18853.74","24388.04","AA","A+",,
"China Mobile",16,43,"17195.98","13867.32","AA+","AA",,
"Orange",17,28,"16798.54","18346.90","AA","AA",,
"Disney",18,"-","16749.57","-","AAA","-",,
"Budweiser",19,31,"16691.58","17160.42","AAA-","AAA-",,
"Tesco",20,25,"16407.65","20472.35","AA+","AA+",,
"Pepsi",21,16,"15034.47","24813.01","AA-","AA",,
"Nike",22,22,"14582.91","21807.27","AAA-","AAA",,
"Wells Fargo",23,46,"14507.95","13130.16","AA","AA",,
"The Home Depot",24,34,"14309.74","15398.10","AA-","AA-",,
"Intel",25,14,"13976.34","25526.81","AA","AA+",,
"BMW",26,30,"13659.41","17215.31","AAA-","AAA",,
"Apple",27,23,"13648.13","21778.84","AA","AAA+",,
"Samsung Group",28,42,"13540.83","13970.99","AA","A+",,
"ExxonMobil",29,47,"13359.91","12619.24","AA","AA-",,
"Shell",30,33,"12376.49","15540.03","AAA-","AAA-",,
"Target",31,45,"12252.56","13419.01","AA","A+",,
"UPS",32,37,"11873.05","14839.78","AA+","AA",,
"TimeWarner",33,40,"11816.88","14229.25","AA+","A+",,
"Sony",34,50,"11597.35","12383.09","AAA","AAA",,
"Honda",35,44,"11460.67","13648.66","AA+","AA",,
"Comcast",36,60,"11382.86","11253.94","AA","AA-",,
"L'Oréal",37,13,"11234.12","25797.22","AAA-","AA+",,
"BP",38,55,"11228.76","11784.16","AA+","AA",,
"Oracle",39,68,"11105.96","9512.75","AA+","AA+",,
"GDF SUEZ",40,"-","11015.71","-","AA+","-",,
"Santander",41,24,"10839.71","20717.69","AA","AA-",,
"Cisco",42,29,"10794.22","18112.89","AA+","AA",,
"Heineken",43,61,"10348.01","10493.74","AA","AA+",,
"Volkswagen",44,88,"10242.28","8210.19","AA+","AA",,
