"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Apple",1,1,"128303.17","104680.49","AAA","AAA",,
"Samsung Group",2,2,"81715.59","78752.00","AAA-","AAA",,
"Google",3,3,"76683.12","68620.25","AAA","AAA+",,
"Microsoft",4,4,"67060.47","62782.84","AAA","AAA",,
"Verizon",5,5,"59843.21","53465.89","AAA-","AAA-",,
"AT&T",6,7,"58820.00","45410.05","AA+","AA",,
"Walmart",7,9,"56705.00","44778.91","AA+","AA+",,
"Amazon.com",8,8,"56124.06","45146.77","AAA-","AAA-",,
"McDonald's",9,23,"52909.00","26046.91","AAA-","AAA-",,
"General Electric",10,6,"48018.54","52532.87","AA+","AA+",,
"China Mobile",11,13,"47915.78","31844.99","AAA-","AA+",,
"Coca-Cola",12,12,"35796.93","33721.56","AAA+","AAA+",,
"IBM",13,10,"35427.79","41514.47","AA+","AA+",,
"Toyota",14,11,"35016.57","34902.89","AAA-","AAA-",,
"Wells Fargo",15,15,"34925.23","30242.01","AAA-","AAA-",,
"BMW",16,17,"33079.38","28961.63","AAA","AAA",,
"T (Deutsche Telekom)",17,14,"31107.93","30606.86","AA+","AA",,
"Volkswagen",18,19,"31025.27","27062.09","AAA-","AAA-",,
"Shell",19,18,"30716.42","28574.64","AAA-","AA+",,
"Walt Disney",20,27,"30697.62","23580.16","AAA","AAA+",,
"Marlboro",21,79,"28608.15","13476.00","AAA-","AAA-",,
"ICBC",22,30,"27458.93","22803.38","AA+","AA+",,
"NTT Group",23,"-","27375.64","-","AA-","-",,
"Mercedes-Benz",24,26,"27327.66","24171.46","AAA","AAA-",,
"Vodafone",25,16,"27286.86","29612.10","AA+","AAA-",,
"HSBC",26,20,"27280.03","26869.85","AAA","AAA",,
"China Construction Bank",27,49,"26417.24","18953.93","AAA-","AA+",,
"Citi",28,24,"26209.96","24517.87","AA+","AA+",,
"Bank of America",29,21,"25713.29","26682.57","AA+","AA+",,
"Intel",30,29,"25011.09","22940.37","AAA-","AA",,
"The Home Depot",31,25,"24471.12","24322.52","AA+","AA-",,
"Facebook",32,119,"24180.42","9819.49","AAA-","AA+",,
"Nike",33,35,"24118.43","20821.08","AAA+","AAA",,
"Chase",34,28,"23392.00","23156.87","AA","AA+",,
"PetroChina",35,61,"23317.00","16525.52","AA","AA",,
"Oracle",36,36,"22888.31","20635.13","AA+","AA",,
"Agricultural Bank Of China",37,55,"22714.05","17782.66","AA+","AA+",,
"Mitsubishi Group",38,"-","22679.00","-","AA","-",,
"Honda",39,31,"22423.52","22151.74","AAA-","AA+",,
"American Express",40,33,"21567.36","21116.12","AA+","AAA-",,
"Pepsi",41,45,"21379.41","19441.55","AAA-","AAA-",,
"Sinopec",42,88,"21278.00","12355.74","AA","A+",,
"Nestlé",43,39,"21225.26","20272.80","AAA","AAA",,
"Allianz",44,37,"20937.14","20424.95","AA+","AA+",,
"Ford",45,34,"20860.00","21012.00","AA+","AAA-",,
"Siemens",46,38,"20508.30","20357.97","AA+","AA+",,
"Bank of China",47,58,"20391.69","16725.32","AAA-","AA+",,
"CVS Caremark",48,51,"20266.66","18283.16","AA+","AA",,
"Orange",49,42,"19866.70","19850.94","AA+","AA",,
"Starbucks",50,"-","19762.00","-","AA+","-",,
"UPS",51,46,"19537.00","19430.79","AA+","AA+",,
"Axa",52,48,"19529.49","19114.64","AA","AA",,
"Hyundai Group",53,50,"19357.00","18831.06","AAA-","AA+",,
"Santander",54,41,"18700.48","20021.16","AAA-","AAA-",,
"ExxonMobil",55,59,"18242.48","16706.42","AA+","AA",,
"Chevron",56,47,"18162.54","19170.82","AA+","AA+",,
"Nissan",57,32,"18084.95","21193.99","AA+","AA+",,
"HP",58,44,"18067.94","19823.86","AA-","AA-",,
"Johnson's",59,383,"17742.06","3602.67","AAA+","AAA",,
"Mitsui Group",60,43,"17596.00","19837.58","AA-","AA",,
"PWC",61,60,"17330.09","16622.51","AAA+","AAA+",,
"Cisco",62,"-","16339.00","-","AAA-","-",,
"BT",63,67,"16175.21","15260.53","AAA-","AAA-",,
"SoftBank",64,54,"16038.89","18008.40","AA","AA",,
"Target",65,53,"15380.69","18083.63","AA","AA",,
"Tata Group",66,68,"15377.99","14781.00","AA","AA+",,
"Walgreens",67,65,"15345.00","15349.64","AA+","AA",,
"Total",68,70,"15203.47","14514.09","AA","AA-",,
"Boeing",69,102,"15198.58","10942.83","AAA","AA+",,
"BNP Paribas",70,40,"14938.58","20206.12","AA","AAA-",,
"BP",71,86,"14743.22","12681.96","AA+","AA",,
"NTT",72,64,"14734.18","15697.00","AA","AA",,
"H&M",73,93,"14715.41","11677.91","AA","AA",,
"Deloitte",74,74,"14694.16","13754.71","AAA","AAA-",,
"MUFG",75,"-","14511.33","-","AA","-",,
"Fox",76,83,"14502.60","13226.57","AAA-","AAA",,
"Sam's Club",77,77,"14452.98","13666.80","AA","AA+",,
"GDF Suez",78,62,"14331.26","16398.98","AA+","AA+",,
"Barclays",79,71,"14205.80","14166.08","AA","AA+",,
"China Telecom",80,73,"14064.34","13886.50","AA+","AA-",,
"China Unicom",81,63,"13790.85","15850.77","AA+","AA+",,
"FedEx",82,80,"13672.18","13467.08","AA+","AA+",,
"Baidu",83,244,"13284.21","5092.11","AA+","AA-",,
"Generali Group",84,84,"13002.21","13162.89","AA-","AA",,
"Lowe's",85,87,"12789.93","12628.61","AA","AA",,
"Airbus",86,69,"12744.19","14559.29","AAA-","AAA-",,
"au",87,109,"12676.51","10506.37","AA+","AA",,
"NTT Docomo",88,"-","12641.46","-","AA+","-",,
"Hitachi Group",89,52,"12612.00","18242.00","AA-","AA-",,
"L'Oréal",90,"-","12479.73","-","AAA+","-",,
"Royal Bank Of Canada",91,97,"12472.78","11060.05","AA","AA+",,
