"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Amazon",1,1,"220790.75","187905.15","AAA","AAA-",,
"Google",2,3,"188511.64","142754.85","AAA","AAA",,
"Apple",3,2,"140524.32","153634.28","AAA","AAA",,
"Microsoft",4,4,"117072.01","119594.99","AAA","AAA",,
"Samsung Group",5,5,"94494.00","91282.00","AAA-","AAA-",,
"ICBC",6,8,"80791.01","79822.64","AAA","AAA+",,
"Facebook",7,7,"79804.43","83201.50","AA+","AAA-",,
"Walmart",8,11,"77520.39","67866.78","AA+","AA+",,
"Ping An",9,14,"69041.00","57625.82","AAA-","AAA-",,
"Huawei",10,12,"65084.36","62278.16","AAA-","AAA-",,
"Mercedes-Benz",11,13,"65041.00","60355.00","AAA-","AAA-",,
"Verizon",12,9,"63692.08","71153.96","AAA-","AAA",,
"China Construction Bank",13,10,"62602.22","69741.75","AAA-","AAA",,
"AT&T",14,6,"59103.13","87005.09","AA+","AA+",,
"Toyota",15,17,"58076.00","52291.00","AAA","AAA",,
"State Grid",16,18,"56964.84","51292.05","AAA-","AA+",,
"Disney",17,25,"56123.32","45749.70","AAA+","AAA",,
"Agricultural Bank Of China",18,16,"54657.80","55040.17","AAA-","AAA",,
"WeChat",19,20,"54146.08","50707.28","AAA+","AAA+",,
"Bank of China",20,19,"50629.56","50990.26","AAA-","AAA",,
"Home Depot",21,22,"50508.29","47055.96","AAA-","AAA-",,
"China Mobile",22,15,"49022.94","55670.36","AAA","AAA",,
"Shell",23,26,"47528.71","42294.65","AAA","AAA-",,
"Saudi Aramco",24,"-","46767.76","-","AA","-",,
"Volkswagen",25,27,"44897.00","41739.11","AA+","AA+",,
"Tencent (QQ)",26,21,"44090.62","49701.06","AAA+","AAA",,
"Starbucks",27,31,"41042.79","39267.88","AAA-","AAA",,
"Wells Fargo",28,30,"40881.04","39947.58","AAA-","AA+",,
"BMW",29,29,"40483.36","40501.35","AAA-","AAA",,
