"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Google",1,"-","109469.63","-","AAA+","-",,
"Apple",2,"-","107141.41","-","AAA","-",,
"Amazon.com",3,1,"106396.35","69642.27","AAA-","AA+",,
"AT&T",4,3,"87015.61","59903.58","AAA","AA",,
"Microsoft",5,"-","76265.32","-","AAA","-",,
"Samsung",6,4,"66217.91","58619.07","AAA-","AAA",,
"Verizon",7,2,"65874.71","63116.32","AAA-","AAA",,
"Walmart",8,5,"62210.85","53656.52","AA+","AA",,
"Facebook",9,"-","61997.75","-","AAA","-",,
"ICBC",10,10,"47832.39","36334.23","AAA","AA+",,
"China Mobile",11,6,"46734.41","49809.75","AAA","AAA-",,
"Toyota",12,8,"46254.73","43064.35","AAA-","AAA-",,
"Wells Fargo",13,7,"41617.53","44169.68","AA+","AA+",,
"China Construction Bank",14,11,"41377.34","35394.00","AAA-","AAA",,
"NTT Group",15,17,"40541.82","31678.26","AA+","AA",,
"BMW",16,12,"39335.09","34967.82","AAA-","AAA",,
"T (Deutsche Telekom)",17,14,"36433.19","33194.18","AA+","AA+",,
"IBM",18,"-","36112.20","-","AA+","-",,
"Mercedes-Benz",19,16,"35544.01","32048.76","AAA-","AAA",,
"General Electric",20,"-","35318.05","-","AAA","-",,
"Alibaba",21,47,"34858.54","17968.27","AA+","AA+",,
"Walt Disney",22,"-","34454.21","-","AAA+","-",,
"Chase",23,19,"33736.51","30602.97","AAA-","AAA-",,
"Marlboro",24,20,"32470.90","29935.00","AA+","AAA-",,
"Nike",25,22,"31762.49","28041.16","AAA+","AAA-",,
"Bank of China",26,25,"31250.45","27735.02","AAA","AAA",,
"Bank of America",27,26,"30272.83","26927.51","AAA-","AA",,
"Home Depot",28,21,"30216.36","28798.18","AAA-","AAA-",,
"Sinopec",29,"-","29555.39","-","AA+","-",,
"PetroChina",30,"-","29002.58","-","AA+","-",,
"Agricultural Bank Of China",31,15,"28511.16","32261.00","AA+","AAA",,
"Citi",32,27,"27674.47","26031.04","AA+","AA+",,
"Mitsubishi Group",33,24,"27652.61","27774.82","A+","AA",,
"Xfinity",34,28,"26179.62","24186.00","AA+","AA+",,
"Oracle",35,"-","25878.44","-","AA","-",,
"Starbucks",36,32,"25615.25","23184.52","AAA","AAA-",,
"Huawei",37,"-","25230.39","-","AAA-","-",,
"Volkswagen",38,43,"25013.79","18923.18","AAA","AA+",,
"Nissan",39,49,"24768.15","17785.46","AAA-","AAA-",,
"IKEA",40,50,"24118.87","17009.27","AA","AA",,
"Hyundai Group",41,30,"23394.69","23796.29","AA-","AA+",,
"CVS Caremark",42,33,"23286.28","22891.00","AA+","AA+",,
"Ford",43,34,"23225.00","20342.00","AAA-","AA",,
"Siemens",44,41,"23088.03","19001.62","AAA-","AA+",,
"Tencent",45,"-","22286.85","-","AAA","-",,
"Ping An",46,"-","22272.80","-","AA+","-",,
"UPS",47,36,"22127.74","19565.28","AAA-","AAA-",,
"Chevron",48,48,"22057.94","17821.59","AAA-","AA+",,
"Orange",49,40,"21526.12","19095.63","AAA-","AA+",,
"Honda",50,37,"21317.60","19332.43","AAA-","AAA-",,
"CSCEC",51,35,"21050.32","20214.25","AA-","AA-",,
"ExxonMobil",52,38,"20736.16","19226.89","AA+","AA",,
"Cisco",53,"-","20734.11","-","AA+","-",,
"SoftBank",54,39,"20621.32","19135.00","AA","AA",,
"Intel",55,"-","20369.05","-","AAA","-",,
"McDonald's",56,9,"20291.25","42936.68","AAA","AAA",,
"H&M",57,60,"19176.95","15510.16","AAA","AA+",,
"Total",58,63,"18514.21","14736.56","AAA-","AA",,
"PWC",59,44,"18509.72","18569.30","AAA+","AAA+",,
"Pepsi",60,42,"18469.74","18947.24","AAA","AAA",,
"Dell",61,91,"18186.30","9786.31","AA","AA",,
"Bosch",62,57,"17990.90","15611.56","AAA-","AAA-",,
"China Telecom",63,65,"17598.69","13684.09","AA+","AA",,
"Accenture",64,"-","17464.44","-","AA+","-",,
"Sumitomo Group",65,"-","17143.57","-","A-","-",,
"FedEx",66,67,"17092.21","13079.37","AA+","AA",,
"Target",67,61,"17015.96","15331.23","AA+","AA",,
"au",68,69,"16919.27","12788.49","AAA-","AA",,
"Johnson's",69,"-","16828.82","-","AAA","-",,
"Deloitte",70,54,"16775.91","16159.63","AAA","AAA",,
"SK Group",71,111,"16425.81","8581.59","A+","AA",,
"Boeing",72,"-","16333.25","-","AAA","-",,
"Walgreens",73,64,"15968.91","14315.13","AA+","AA",,
"Santander",74,56,"15928.85","15688.51","AA+","AA+",,
"Fox",75,58,"15814.01","15540.84","AAA-","AAA-",,
"Spectrum",76,366,"15738.08","3476.67","AA","AA",,
"J.P. Morgan",77,68,"15710.34","12948.00","AA","AA-",,
"Allianz",78,52,"15197.41","16426.41","AA","AA",,
"SAP",79,102,"15157.83","9106.53","AA-","AA",,
"American Express",80,45,"15013.65","18482.67","AA+","AA+",,
"Hitachi Group",81,"-","14851.50","-","AA+","-",,
"Uber",82,"-","14596.14","-","AA-","-",,
"Zara",83,88,"14399.13","10086.33","AAA-","AA+",,
"China Merchants Bank",84,66,"14269.47","13238.58","AAA-","AAA",,
"Lowe's",85,70,"13938.41","12717.48","AAA-","AA",,
"NBC",86,55,"13736.50","16103.47","AAA+","AAA+",,
"BNP Paribas",87,59,"13644.22","15530.86","AA","AA+",,
"Costco",88,75,"13455.48","11846.76","AA","AA+",,
"UnitedHealth Group",89,62,"13378.65","14933.52","AA","AA",,
"JD.com",90,98,"13377.22","9193.60","A+","A+",,
"MUFG",91,73,"13214.56","12650.84","AA","AA",,
"WeChat",92,"-","13189.08","-","AAA-","-",,
"Tata Group",93,"-","13113.31","-","AA+","-",,
"Barclays",94,53,"13006.29","16235.86","AA","AA",,
"Royal Bank Of Canada",95,89,"12659.03","9879.57","AA+","AA-",,
"TD Bank",96,93,"12564.81","9607.11","AAA-","AA",,
"Audi",97,90,"12545.90","9835.59","AAA-","AAA-",,
"Porsche",98,"-","12396.34","-","AAA","-",,
"Moutai",99,"-","12283.17","-","AAA-","-",,
"Mastercard",100,"-","12256.39","-","AAA","-",,
"JR",101,"-","🔒","🔒","🔒","🔒",,
