"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Johnson & Johnson",114,"-","🔒","🔒","🔒","🔒",,
"Roche",115,"-","🔒","🔒","🔒","🔒",,
"Renault",116,"-","🔒","🔒","🔒","🔒",,
"Starbucks",117,"-","🔒","🔒","🔒","🔒",,
"Washington Mutual",118,"-","🔒","🔒","🔒","🔒",,
"LG",119,"-","🔒","🔒","🔒","🔒",,
"Panasonic",120,"-","🔒","🔒","🔒","🔒",,
"Lloyds",121,"-","🔒","🔒","🔒","🔒",,
"Novartis",122,"-","🔒","🔒","🔒","🔒",,
"Manulife Financial",123,"-","🔒","🔒","🔒","🔒",,
"Mizuho",124,"-","🔒","🔒","🔒","🔒",,
"CREDIT AGRICOLE",125,"-","🔒","🔒","🔒","🔒",,
"KFC",126,"-","🔒","🔒","🔒","🔒",,
"Nestlé",127,"-","🔒","🔒","🔒","🔒",,
"NatWest",128,"-","🔒","🔒","🔒","🔒",,
"Capital One",129,"-","🔒","🔒","🔒","🔒",,
"Caterpillar",130,"-","🔒","🔒","🔒","🔒",,
"Pfizer",131,"-","🔒","🔒","🔒","🔒",,
"Asda",132,"-","🔒","🔒","🔒","🔒",,
"SUEZ Environment",133,"-","🔒","🔒","🔒","🔒",,
"MTV",134,"-","🔒","🔒","🔒","🔒",,
"Amazon.com",135,"-","5493.82","-","AA-","-",,
"Allstate",136,"-","🔒","🔒","🔒","🔒",,
"Telefonica",137,"-","🔒","🔒","🔒","🔒",,
"Louis Vuitton",138,"-","🔒","🔒","🔒","🔒",,
"NEC",139,"-","🔒","🔒","🔒","🔒",,
"Estée Lauder",140,"-","🔒","🔒","🔒","🔒",,
"Chanel",141,"-","🔒","🔒","🔒","🔒",,
"National Austalia Bank",142,"-","🔒","🔒","🔒","🔒",,
"adidas",143,"-","🔒","🔒","🔒","🔒",,
"BT",144,"-","🔒","🔒","🔒","🔒",,
"Playstation",145,"-","🔒","🔒","🔒","🔒",,
"Sanofi",146,"-","🔒","🔒","🔒","🔒",,
"Heinz",147,"-","🔒","🔒","🔒","🔒",,
"Xerox",148,"-","🔒","🔒","🔒","🔒",,
"Harley-Davidson",149,"-","🔒","🔒","🔒","🔒",,
"Colgate",150,"-","🔒","🔒","🔒","🔒",,
"Hyundai",151,"-","🔒","🔒","🔒","🔒",,
"Deloitte",152,"-","🔒","🔒","🔒","🔒",,
"H&M",153,"-","🔒","🔒","🔒","🔒",,
"American Airlines",154,"-","🔒","🔒","🔒","🔒",,
"Royal Bank of Scotland",155,"-","🔒","🔒","🔒","🔒",,
"Halifax",156,"-","🔒","🔒","🔒","🔒",,
"Rolex",157,"-","🔒","🔒","🔒","🔒",,
"Total",158,"-","🔒","🔒","🔒","🔒",,
"Porsche",159,"-","🔒","🔒","🔒","🔒",,
"Marks & Spencer",160,"-","🔒","🔒","🔒","🔒",,
"KPMG",161,"-","🔒","🔒","🔒","🔒",,
"BBC",162,"-","🔒","🔒","🔒","🔒",,
"Sinopec",163,"-","🔒","🔒","🔒","🔒",,
"Peugeot",164,"-","🔒","🔒","🔒","🔒",,
"Volvo",165,"-","🔒","🔒","🔒","🔒",,
"Sharp",166,"-","🔒","🔒","🔒","🔒",,
"BellSouth Corp",167,"-","🔒","🔒","🔒","🔒",,
"Lexus",168,"-","🔒","🔒","🔒","🔒",,
"TEPCO",169,"-","🔒","🔒","🔒","🔒",,
"Lehman Bros",170,"-","🔒","🔒","🔒","🔒",,
"RBC",171,"-","🔒","🔒","🔒","🔒",,
"Accenture",172,"-","🔒","🔒","🔒","🔒",,
"Wrigley's",173,"-","🔒","🔒","🔒","🔒",,
"Audi",174,"-","🔒","🔒","🔒","🔒",,
"América Móvil",175,"-","🔒","🔒","🔒","🔒",,
"EY",176,"-","🔒","🔒","🔒","🔒",,
"Wellpoint",177,"-","🔒","🔒","🔒","🔒",,
"E.ON",178,"-","🔒","🔒","🔒","🔒",,
"AstraZeneca",179,"-","🔒","🔒","🔒","🔒",,
"AOL",180,"-","🔒","🔒","🔒","🔒",,
"CBS",181,"-","🔒","🔒","🔒","🔒",,
"Standard Chartered",182,"-","🔒","🔒","🔒","🔒",,
"RWE",183,"-","🔒","🔒","🔒","🔒",,
"Prada",184,"-","🔒","🔒","🔒","🔒",,
"Old Mutual",185,"-","🔒","🔒","🔒","🔒",,
"Smirnoff",186,"-","🔒","🔒","🔒","🔒",,
"Lufthansa",187,"-","🔒","🔒","🔒","🔒",,
"Pizza Hut",188,"-","🔒","🔒","🔒","🔒",,
"EDF",189,"-","🔒","🔒","🔒","🔒",,
"US BANCORP",190,"-","🔒","🔒","🔒","🔒",,
"Becks",191,"-","🔒","🔒","🔒","🔒",,
"Hertz",192,"-","🔒","🔒","🔒","🔒",,
"Red Bull",193,"-","🔒","🔒","🔒","🔒",,
"ConocoPhillips",194,"-","🔒","🔒","🔒","🔒",,
"State Farm",195,"-","🔒","🔒","🔒","🔒",,
"BANK OF TOKYO-MITSUBISHI UFJ",196,"-","🔒","🔒","🔒","🔒",,
"Cartier",197,"-","🔒","🔒","🔒","🔒",,
"British Airways",198,"-","🔒","🔒","🔒","🔒",,
"SUMITOMO MITSUI",199,"-","🔒","🔒","🔒","🔒",,
"EMC",200,"-","🔒","🔒","🔒","🔒",,
"COMMONWEALTH BANK OF AUSTRALIA",201,"-","🔒","🔒","🔒","🔒",,
"Cadbury",202,"-","🔒","🔒","🔒","🔒",,
"Sun",203,"-","🔒","🔒","🔒","🔒",,
"Olympus",204,"-","🔒","🔒","🔒","🔒",,
"COMMERZBANK",205,"-","🔒","🔒","🔒","🔒",,
"FORTIS",206,"-","🔒","🔒","🔒","🔒",,
"Whirlpool",207,"-","🔒","🔒","🔒","🔒",,
"Zara",208,"-","🔒","🔒","🔒","🔒",,
"China Unicom",209,"-","🔒","🔒","🔒","🔒",,
"Levi's",210,"-","🔒","🔒","🔒","🔒",,
"Kodak",211,"-","🔒","🔒","🔒","🔒",,
"Loblaws",212,"-","🔒","🔒","🔒","🔒",,
"Metro",213,"-","🔒","🔒","🔒","🔒",,
"Symantec",214,"-","🔒","🔒","🔒","🔒",,
"Corona",215,"-","🔒","🔒","🔒","🔒",,
"FREDDIE MAC",216,"-","🔒","🔒","🔒","🔒",,
"Moët & Chandon",217,"-","🔒","🔒","🔒","🔒",,
"ANZ",218,"-","🔒","🔒","🔒","🔒",,
"STANDARD BANK OF SOUTH AFRICA",219,"-","🔒","🔒","🔒","🔒",,
"WESTPAC",220,"-","🔒","🔒","🔒","🔒",,
"NORDEA",221,"-","🔒","🔒","🔒","🔒",,
"TORONTO-DOMINION BANK",222,"-","🔒","🔒","🔒","🔒",,
"CANADIAN IMPERIAL BANK OF COMMERCE",223,"-","🔒","🔒","🔒","🔒",,
"Nikon",224,"-","🔒","🔒","🔒","🔒",,
"BANCA INTESA",225,"-","🔒","🔒","🔒","🔒",,
"Kleenex",226,"-","🔒","🔒","🔒","🔒",,
"Hennessy",227,"-","🔒","🔒","🔒","🔒",,
"LUKOIL",228,"-","🔒","🔒","🔒","🔒",,
"Hershey's",229,"-","🔒","🔒","🔒","🔒",,
"Valero",230,"-","🔒","🔒","🔒","🔒",,
"BRADESCO",231,"-","🔒","🔒","🔒","🔒",,
"Japan Airlines",232,"-","🔒","🔒","🔒","🔒",,
"Mitsubishi",233,"-","🔒","🔒","🔒","🔒",,
"Diesel",234,"-","🔒","🔒","🔒","🔒",,
"BANK OF NEW YORK",235,"-","🔒","🔒","🔒","🔒",,
"Thomson Reuters",236,"-","🔒","🔒","🔒","🔒",,
"EA",237,"-","🔒","🔒","🔒","🔒",,
"BANCO DO BRASIL",238,"-","🔒","🔒","🔒","🔒",,
"Campbell's",239,"-","🔒","🔒","🔒","🔒",,
"Black & Decker",240,"-","🔒","🔒","🔒","🔒",,
"Enel",241,"-","🔒","🔒","🔒","🔒",,
"Abbott Labs",242,"-","🔒","🔒","🔒","🔒",,
"Bulgari",243,"-","🔒","🔒","🔒","🔒",,
"O2",244,"-","🔒","🔒","🔒","🔒",,
"Acer",245,"-","🔒","🔒","🔒","🔒",,
"Goodyear",246,"-","🔒","🔒","🔒","🔒",,
