"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Uber",88,82,"16629.33","14596.14","AA","AA-",,
"au",89,68,"16625.74","16919.27","AA+","AAA-",,
"Dell",90,61,"16355.65","18186.30","AA-","AA",,
"Evergrande",91,187,"16228.64","7439.43","AA+","AA",,
"Santander",92,74,"16200.05","15928.85","AA","AA+",,
"Walgreens",93,73,"15546.42","15968.91","AA+","AA+",,
"American Express",94,80,"15103.28","15013.65","AA","AA+",,
"Audi",95,97,"14950.80","12545.90","AAA-","AAA-",,
"NBC",96,86,"14861.52","13736.50","AAA+","AAA+",,
"Shanghai Pudong Development Bank",97,104,"14771.61","11963.03","AA","AA+",,
"Wuliangye",98,264,"14635.26","5603.67","AAA-","AA",,
"MUFG",99,91,"14506.94","13214.56","AA-","AA",,
"China Life",100,121,"14393.04","10299.71","AAA-","AA+",,
"Adidas",101,123,"🔒","🔒","🔒","🔒",,
"Tata Group",102,93,"🔒","🔒","🔒","🔒",,
"Bank of Communications",103,106,"🔒","🔒","🔒","🔒",,
"Royal Bank Of Canada",104,95,"🔒","🔒","🔒","🔒",,
"Hitachi Group",105,81,"🔒","🔒","🔒","🔒",,
"BNP Paribas",106,87,"🔒","🔒","🔒","🔒",,
"Target",107,67,"🔒","🔒","🔒","🔒",,
"Renault",108,111,"🔒","🔒","🔒","🔒",,
"Barclays",109,94,"🔒","🔒","🔒","🔒",,
"CHEVROLET",110,107,"🔒","🔒","🔒","🔒",,
"Spectrum",111,76,"🔒","🔒","🔒","🔒",,
"SK Group",112,71,"🔒","🔒","🔒","🔒",,
"ExxonMobil",113,52,"🔒","🔒","🔒","🔒",,
"Axa",114,133,"🔒","🔒","🔒","🔒",,
"Mastercard",115,100,"🔒","🔒","🔒","🔒",,
"Volvo",116,450,"🔒","🔒","🔒","🔒",,
"TD",117,96,"🔒","🔒","🔒","🔒",,
"KPMG",118,112,"🔒","🔒","🔒","🔒",,
"Telstra",119,113,"🔒","🔒","🔒","🔒",,
"NetEase",120,186,"🔒","🔒","🔒","🔒",,
"CRCC",121,119,"🔒","🔒","🔒","🔒",,
"Costco",122,88,"🔒","🔒","🔒","🔒",,
"UNIVERSAL",123,118,"🔒","🔒","🔒","🔒",,
"Sony",124,120,"🔒","🔒","🔒","🔒",,
"Industrial Bank",125,117,"🔒","🔒","🔒","🔒",,
"Land Rover",126,"-","🔒","🔒","🔒","🔒",,
"Sberbank",127,141,"🔒","🔒","🔒","🔒",,
"Country Garden",128,171,"🔒","🔒","🔒","🔒",,
"BBVA",129,164,"🔒","🔒","🔒","🔒",,
"PETRONAS",130,116,"🔒","🔒","🔒","🔒",,
"BT",131,"-","🔒","🔒","🔒","🔒",,
"China Unicom",132,136,"🔒","🔒","🔒","🔒",,
"Movistar",133,125,"🔒","🔒","🔒","🔒",,
"Capital One",134,108,"🔒","🔒","🔒","🔒",,
"JR",135,101,"🔒","🔒","🔒","🔒",,
"Sumitomo Group",136,65,"🔒","🔒","🔒","🔒",,
"Airbus",137,139,"🔒","🔒","🔒","🔒",,
"Bell",138,129,"🔒","🔒","🔒","🔒",,
"DHL",139,122,"🔒","🔒","🔒","🔒",,
"Carrefour",140,142,"🔒","🔒","🔒","🔒",,
"Eni",141,109,"🔒","🔒","🔒","🔒",,
"Louis Vuitton",142,144,"🔒","🔒","🔒","🔒",,
"CBS",143,126,"🔒","🔒","🔒","🔒",,
"ABC",144,135,"🔒","🔒","🔒","🔒",,
"NETFLIX",145,176,"🔒","🔒","🔒","🔒",,
"AIA",146,127,"🔒","🔒","🔒","🔒",,
"China CITIC Bank",147,132,"🔒","🔒","🔒","🔒",,
"CRECG",148,110,"🔒","🔒","🔒","🔒",,
"Scotiabank",149,152,"🔒","🔒","🔒","🔒",,
"Canon",150,157,"🔒","🔒","🔒","🔒",,
"Warner Bros.",151,169,"🔒","🔒","🔒","🔒",,
"Sky",152,"-","🔒","🔒","🔒","🔒",,
"Anthem",153,115,"🔒","🔒","🔒","🔒",,
"Tesco",154,114,"🔒","🔒","🔒","🔒",,
"EDF",155,161,"🔒","🔒","🔒","🔒",,
"Cartier",156,207,"🔒","🔒","🔒","🔒",,
"ING",157,149,"🔒","🔒","🔒","🔒",,
"L'Oréal",158,"-","🔒","🔒","🔒","🔒",,
"Alibaba",159,21,"🔒","🔒","🔒","🔒",,
"Aetna",160,151,"🔒","🔒","🔒","🔒",,
"Goldman Sachs",161,143,"🔒","🔒","🔒","🔒",,
"Aldi",162,131,"🔒","🔒","🔒","🔒",,
"booking.com",163,184,"🔒","🔒","🔒","🔒",,
"Danone",164,"-","🔒","🔒","🔒","🔒",,
"American Airlines",165,128,"🔒","🔒","🔒","🔒",,
"Panasonic",166,178,"🔒","🔒","🔒","🔒",,
"Paypal",167,217,"🔒","🔒","🔒","🔒",,
"Johnson & Johnson",168,"-","🔒","🔒","🔒","🔒",,
"Humana",169,195,"🔒","🔒","🔒","🔒",,
"Philips",170,162,"🔒","🔒","🔒","🔒",,
"UBS",171,134,"🔒","🔒","🔒","🔒",,
"HP",172,180,"🔒","🔒","🔒","🔒",,
"CPIC",173,287,"🔒","🔒","🔒","🔒",,
"Delta",174,138,"🔒","🔒","🔒","🔒",,
"TIM",175,222,"🔒","🔒","🔒","🔒",,
"O2",176,"-","🔒","🔒","🔒","🔒",,
"Enel",177,172,"🔒","🔒","🔒","🔒",,
"Gucci",178,202,"🔒","🔒","🔒","🔒",,
"China Minsheng Bank",179,146,"🔒","🔒","🔒","🔒",,
"Lidl",180,173,"🔒","🔒","🔒","🔒",,
"Mitsui Group",181,137,"🔒","🔒","🔒","🔒",,
"3M",182,256,"🔒","🔒","🔒","🔒",,
"Optum",183,252,"🔒","🔒","🔒","🔒",,
"7-Eleven",184,174,"🔒","🔒","🔒","🔒",,
"Nokia",185,313,"🔒","🔒","🔒","🔒",,
"Engie",186,124,"🔒","🔒","🔒","🔒",,
"HPE",187,140,"🔒","🔒","🔒","🔒",,
"Lockheed Martin",188,179,"🔒","🔒","🔒","🔒",,
"Commonwealth Bank of Australia",189,163,"🔒","🔒","🔒","🔒",,
"ANZ",190,167,"🔒","🔒","🔒","🔒",,
"ABB",191,206,"🔒","🔒","🔒","🔒",,
"Adobe",192,282,"🔒","🔒","🔒","🔒",,
"Statoil",193,181,"🔒","🔒","🔒","🔒",,
"BMO",194,175,"🔒","🔒","🔒","🔒",,
"Société Générale",195,212,"🔒","🔒","🔒","🔒",,
"eBay",196,182,"🔒","🔒","🔒","🔒",,
"Metlife",197,213,"🔒","🔒","🔒","🔒",,
"Uniqlo",198,130,"🔒","🔒","🔒","🔒",,
"Subway",199,156,"🔒","🔒","🔒","🔒",,
"Subaru",200,166,"🔒","🔒","🔒","🔒",,
"KFC",201,239,"🔒","🔒","🔒","🔒",,
"Itaú",202,203,"🔒","🔒","🔒","🔒",,
"Michelin",203,244,"🔒","🔒","🔒","🔒",,
"Medtronic",204,153,"🔒","🔒","🔒","🔒",,
"Rogers",205,201,"🔒","🔒","🔒","🔒",,
"Union Pacific",206,170,"🔒","🔒","🔒","🔒",,
"Dalian Wanda Commercial Properties",207,154,"🔒","🔒","🔒","🔒",,
"Nintendo",208,326,"🔒","🔒","🔒","🔒",,
"TSMC",209,232,"🔒","🔒","🔒","🔒",,
"Morgan Stanley",210,185,"🔒","🔒","🔒","🔒",,
"Yanghe",211,362,"🔒","🔒","🔒","🔒",,
"Cognizant",212,150,"🔒","🔒","🔒","🔒",,
"Etisalat",213,272,"🔒","🔒","🔒","🔒",,
"Telus",214,220,"🔒","🔒","🔒","🔒",,
"U.S. Bank",215,197,"🔒","🔒","🔒","🔒",,
"Allstate",216,228,"🔒","🔒","🔒","🔒",,
"Red Bull",217,209,"🔒","🔒","🔒","🔒",,
"Lego",218,183,"🔒","🔒","🔒","🔒",,
"Gillette",219,196,"🔒","🔒","🔒","🔒",,
"Western Digital",220,247,"🔒","🔒","🔒","🔒",,
"Sam's Club",221,148,"🔒","🔒","🔒","🔒",,
"Sprint",222,145,"🔒","🔒","🔒","🔒",,
"BASF",223,215,"🔒","🔒","🔒","🔒",,
"Bud Light",224,214,"🔒","🔒","🔒","🔒",,
"3",225,"-","🔒","🔒","🔒","🔒",,
"Yahoo! Group",226,238,"🔒","🔒","🔒","🔒",,
"PICC",227,277,"🔒","🔒","🔒","🔒",,
"Zurich",228,192,"🔒","🔒","🔒","🔒",,
"Vinci",229,216,"🔒","🔒","🔒","🔒",,
"Woolworths",230,225,"🔒","🔒","🔒","🔒",,
"Vanke",231,190,"🔒","🔒","🔒","🔒",,
"CIBC",232,230,"🔒","🔒","🔒","🔒",,
"Valero",233,301,"🔒","🔒","🔒","🔒",,
"Budweiser",234,257,"🔒","🔒","🔒","🔒",,
"Centurylink",235,226,"🔒","🔒","🔒","🔒",,
"Honeywell",236,200,"🔒","🔒","🔒","🔒",,
"Nippon Life Insurance",237,147,"🔒","🔒","🔒","🔒",,
"United Airlines",238,194,"🔒","🔒","🔒","🔒",,
"Bridgestone",239,188,"🔒","🔒","🔒","🔒",,
"Midea",240,376,"🔒","🔒","🔒","🔒",,
"Cigna",241,281,"🔒","🔒","🔒","🔒",,
"Sumitomo Mitsui Financial Group",242,191,"🔒","🔒","🔒","🔒",,
"Telenor",243,193,"🔒","🔒","🔒","🔒",,
"Qualcomm",244,204,"🔒","🔒","🔒","🔒",,
"Haval",245,"-","🔒","🔒","🔒","🔒",,
"Brookfield Asset Management",246,291,"🔒","🔒","🔒","🔒",,
"Credit Suisse",247,242,"🔒","🔒","🔒","🔒",,
"Airtel",248,177,"🔒","🔒","🔒","🔒",,
"STC",249,234,"🔒","🔒","🔒","🔒",,
"CRRC",250,198,"🔒","🔒","🔒","🔒",,
"Neutrogena",251,235,"🔒","🔒","🔒","🔒",,
"Xiaomi",252,"-","🔒","🔒","🔒","🔒",,
"Coles",253,245,"🔒","🔒","🔒","🔒",,
"GEICO",254,303,"🔒","🔒","🔒","🔒",,
"Dow",255,327,"🔒","🔒","🔒","🔒",,
"Ferrari",256,240,"🔒","🔒","🔒","🔒",,
"nab",257,223,"🔒","🔒","🔒","🔒",,
"Publix",258,258,"🔒","🔒","🔒","🔒",,
"DBS",259,280,"🔒","🔒","🔒","🔒",,
"NatWest",260,"-","🔒","🔒","🔒","🔒",,
"Schlumberger",261,208,"🔒","🔒","🔒","🔒",,
"Generali Group",262,278,"🔒","🔒","🔒","🔒",,
"Fresenius",263,298,"🔒","🔒","🔒","🔒",,
"Nivea",264,210,"🔒","🔒","🔒","🔒",,
"Roche",265,243,"🔒","🔒","🔒","🔒",,
"Asda",266,189,"🔒","🔒","🔒","🔒",,
"Lloyds Bank",267,227,"🔒","🔒","🔒","🔒",,
"Prudential (US)",268,268,"🔒","🔒","🔒","🔒",,
"China Everbright Bank",269,251,"🔒","🔒","🔒","🔒",,
"PNC",270,237,"🔒","🔒","🔒","🔒",,
"Rolex",271,199,"🔒","🔒","🔒","🔒",,
"Nordea",272,265,"🔒","🔒","🔒","🔒",,
"Pampers",273,219,"🔒","🔒","🔒","🔒",,
"Hilton",274,158,"🔒","🔒","🔒","🔒",,
"Activision Blizzard",275,250,"🔒","🔒","🔒","🔒",,
"Swisscom",276,211,"🔒","🔒","🔒","🔒",,
"Coach",277,338,"🔒","🔒","🔒","🔒",,
"Marubeni",278,218,"🔒","🔒","🔒","🔒",,
"Victoria's Secret",279,229,"🔒","🔒","🔒","🔒",,
"Yili",280,"-","🔒","🔒","🔒","🔒",,
"Deutsche Bank",281,310,"🔒","🔒","🔒","🔒",,
"Claro",282,279,"🔒","🔒","🔒","🔒",,
"Infosys",283,233,"🔒","🔒","🔒","🔒",,
"DXC Technology",284,"-","🔒","🔒","🔒","🔒",,
"Pall Mall",285,224,"🔒","🔒","🔒","🔒",,
"L&M",286,275,"🔒","🔒","🔒","🔒",,
"Geely",287,431,"🔒","🔒","🔒","🔒",,
"LIC",288,205,"🔒","🔒","🔒","🔒",,
"Playstation",289,438,"🔒","🔒","🔒","🔒",,
"Merrill Lynch",290,270,"🔒","🔒","🔒","🔒",,
"Camel",291,262,"🔒","🔒","🔒","🔒",,
"T.J. Maxx",292,267,"🔒","🔒","🔒","🔒",,
"Chanel",293,361,"🔒","🔒","🔒","🔒",,
"Broadcom",294,321,"🔒","🔒","🔒","🔒",,
"Daiwa House",295,236,"🔒","🔒","🔒","🔒",,
"Westpac",296,259,"🔒","🔒","🔒","🔒",,
"SFR",297,261,"🔒","🔒","🔒","🔒",,
"MCC",298,284,"🔒","🔒","🔒","🔒",,
"Crédit Agricole",299,382,"🔒","🔒","🔒","🔒",,
"Purina",300,253,"🔒","🔒","🔒","🔒",,
"Mizuho Financial Group",301,221,"🔒","🔒","🔒","🔒",,
"Bouygues Group",302,297,"🔒","🔒","🔒","🔒",,
"Rabobank",303,"-","🔒","🔒","🔒","🔒",,
"Tesla",304,"-","🔒","🔒","🔒","🔒",,
"Travelers",305,295,"🔒","🔒","🔒","🔒",,
"Tyson",306,"-","🔒","🔒","🔒","🔒",,
"Standard Chartered",307,325,"🔒","🔒","🔒","🔒",,
"BBC",308,"-","🔒","🔒","🔒","🔒",,
"Bradesco",309,266,"🔒","🔒","🔒","🔒",,
"Bayer",310,333,"🔒","🔒","🔒","🔒",,
"Gazprom",311,317,"🔒","🔒","🔒","🔒",,
"Airbnb",312,432,"🔒","🔒","🔒","🔒",,
"Salesforce",313,269,"🔒","🔒","🔒","🔒",,
"Dollar General",314,260,"🔒","🔒","🔒","🔒",,
"Chunghwa",315,434,"🔒","🔒","🔒","🔒",,
"Newport",316,288,"🔒","🔒","🔒","🔒",,
"Poly Real Estate",317,160,"🔒","🔒","🔒","🔒",,
"Marriott",318,306,"🔒","🔒","🔒","🔒",,
"Kellogg's",319,"-","🔒","🔒","🔒","🔒",,
"Sainsbury's",320,299,"🔒","🔒","🔒","🔒",,
"AIG",321,274,"🔒","🔒","🔒","🔒",,
"Enterprise",322,285,"🔒","🔒","🔒","🔒",,
"Saint-Gobain",323,343,"🔒","🔒","🔒","🔒",,
"ESPN",324,350,"🔒","🔒","🔒","🔒",,
"Emirates",325,246,"🔒","🔒","🔒","🔒",,
"Nescafé",326,283,"🔒","🔒","🔒","🔒",,
"Guerlain",327,"-","🔒","🔒","🔒","🔒",,
"Southwest Airlines",328,249,"🔒","🔒","🔒","🔒",,
"Thomson Reuters",329,308,"🔒","🔒","🔒","🔒",,
"State Bank of India",330,273,"🔒","🔒","🔒","🔒",,
"KT",331,300,"🔒","🔒","🔒","🔒",,
"Mobil",332,254,"🔒","🔒","🔒","🔒",,
"CNOOC",333,290,"🔒","🔒","🔒","🔒",,
"Caterpillar",334,352,"🔒","🔒","🔒","🔒",,
"Kroger",335,231,"🔒","🔒","🔒","🔒",,
"SK Hynix",336,"-","🔒","🔒","🔒","🔒",,
"Telkom Indonesia",337,359,"🔒","🔒","🔒","🔒",,
"Intesa Sanpaolo",338,341,"🔒","🔒","🔒","🔒",,
"Petrobras",339,296,"🔒","🔒","🔒","🔒",,
"Ross Dress For Less",340,289,"🔒","🔒","🔒","🔒",,
"BHP",341,393,"🔒","🔒","🔒","🔒",,
"Chubb",342,263,"🔒","🔒","🔒","🔒",,
"20th Century Fox",343,286,"🔒","🔒","🔒","🔒",,
"Clinique",344,309,"🔒","🔒","🔒","🔒",,
"KEPCO",345,356,"🔒","🔒","🔒","🔒",,
"Pantene",346,323,"🔒","🔒","🔒","🔒",,
"Tim Hortons",347,380,"🔒","🔒","🔒","🔒",,
"McKinsey",348,358,"🔒","🔒","🔒","🔒",,
"Chow Tai Fook",349,307,"🔒","🔒","🔒","🔒",,
"Huggies",350,330,"🔒","🔒","🔒","🔒",,
"Aviva",351,348,"🔒","🔒","🔒","🔒",,
"Gatorade",352,342,"🔒","🔒","🔒","🔒",,
"PTT",353,351,"🔒","🔒","🔒","🔒",,
"Sysco",354,314,"🔒","🔒","🔒","🔒",,
"Macy's",355,276,"🔒","🔒","🔒","🔒",,
"Kraft",356,"-","🔒","🔒","🔒","🔒",,
"McLane",357,315,"🔒","🔒","🔒","🔒",,
"Colgate",358,"-","🔒","🔒","🔒","🔒",,
"Lukoil",359,344,"🔒","🔒","🔒","🔒",,
"Dove",360,"-","🔒","🔒","🔒","🔒",,
"Domino's Pizza",361,391,"🔒","🔒","🔒","🔒",,
"Poste Italiane",362,387,"🔒","🔒","🔒","🔒",,
"Randstad",363,459,"🔒","🔒","🔒","🔒",,
"Wrigley's",364,"-","🔒","🔒","🔒","🔒",,
"Enbridge",365,441,"🔒","🔒","🔒","🔒",,
"Haier",366,"-","🔒","🔒","🔒","🔒",,
"Continental",367,445,"🔒","🔒","🔒","🔒",,
"Thermo Fisher Scientific",368,365,"🔒","🔒","🔒","🔒",,
"Longfor Properties",369,"-","🔒","🔒","🔒","🔒",,
"Esso",370,241,"🔒","🔒","🔒","🔒",,
"Schneider Electric",371,403,"🔒","🔒","🔒","🔒",,
"Exxon",372,271,"🔒","🔒","🔒","🔒",,
"Tiffany & Co.",373,367,"🔒","🔒","🔒","🔒",,
"EE",374,"-","🔒","🔒","🔒","🔒",,
"Garnier",375,304,"🔒","🔒","🔒","🔒",,
"E Leclerc",376,312,"🔒","🔒","🔒","🔒",,
"General Dynamics",377,349,"🔒","🔒","🔒","🔒",,
"Fubon Life",378,409,"🔒","🔒","🔒","🔒",,
"Progressive",379,410,"🔒","🔒","🔒","🔒",,
"ADP",380,320,"🔒","🔒","🔒","🔒",,
"Kia",381,311,"🔒","🔒","🔒","🔒",,
"ConocoPhillips",382,324,"🔒","🔒","🔒","🔒",,
"KB Financial Group",383,"-","🔒","🔒","🔒","🔒",,
"John Deere",384,369,"🔒","🔒","🔒","🔒",,
"Burberry",385,"-","🔒","🔒","🔒","🔒",,
"HCL",386,347,"🔒","🔒","🔒","🔒",,
"Toshiba",387,168,"🔒","🔒","🔒","🔒",,
"Swiss Re",388,328,"🔒","🔒","🔒","🔒",,
"Ericsson",389,305,"🔒","🔒","🔒","🔒",,
"Capgemini",390,377,"🔒","🔒","🔒","🔒",,
"China Communications Construction Company",391,"-","🔒","🔒","🔒","🔒",,
"Discover",392,388,"🔒","🔒","🔒","🔒",,
"Northrop Grumman",393,381,"🔒","🔒","🔒","🔒",,
"China Cinda",394,452,"🔒","🔒","🔒","🔒",,
"Sodexo",395,451,"🔒","🔒","🔒","🔒",,
"Texas Instruments",396,429,"🔒","🔒","🔒","🔒",,
"Prudential (UK)",397,418,"🔒","🔒","🔒","🔒",,
"Estée Lauder",398,364,"🔒","🔒","🔒","🔒",,
"CNRL",399,395,"🔒","🔒","🔒","🔒",,
"Electronic Arts",400,392,"🔒","🔒","🔒","🔒",,
"Sprite",401,354,"🔒","🔒","🔒","🔒",,
"Canadian National Railway",402,405,"🔒","🔒","🔒","🔒",,
"Suning",403,400,"🔒","🔒","🔒","🔒",,
"˜Ferguson",404,398,"🔒","🔒","🔒","🔒",,
"Lotte Group",405,248,"🔒","🔒","🔒","🔒",,
"Hikvision",406,360,"🔒","🔒","🔒","🔒",,
"Denso",407,422,"🔒","🔒","🔒","🔒",,
"Sherwin-Williams",408,"-","🔒","🔒","🔒","🔒",,
"Nationwide Building Society",409,"-","🔒","🔒","🔒","🔒",,
"Safran",410,"-","🔒","🔒","🔒","🔒",,
"Crédit Mutuel",411,"-","🔒","🔒","🔒","🔒",,
"Johnnie Walker",412,"-","🔒","🔒","🔒","🔒",,
"Telia",413,336,"🔒","🔒","🔒","🔒",,
"Suzuki",414,329,"🔒","🔒","🔒","🔒",,
"Deutsche Post",415,"-","🔒","🔒","🔒","🔒",,
"Nordstrom",416,322,"🔒","🔒","🔒","🔒",,
"LinkedIn",417,375,"🔒","🔒","🔒","🔒",,
"Express Scripts",418,384,"🔒","🔒","🔒","🔒",,
"HBO",419,416,"🔒","🔒","🔒","🔒",,
"QNB",420,402,"🔒","🔒","🔒","🔒",,
"KBC",421,413,"🔒","🔒","🔒","🔒",,
"Indian Oil",422,339,"🔒","🔒","🔒","🔒",,
"Clarins",423,370,"🔒","🔒","🔒","🔒",,
"Shiseido",424,454,"🔒","🔒","🔒","🔒",,
"Kohl's",425,316,"🔒","🔒","🔒","🔒",,
"Emerson Electric",426,401,"🔒","🔒","🔒","🔒",,
"Banco do Brasil",427,294,"🔒","🔒","🔒","🔒",,
"Doosan Group",428,436,"🔒","🔒","🔒","🔒",,
"El Corte Inglés",429,"-","🔒","🔒","🔒","🔒",,
"Cummins",430,"-","🔒","🔒","🔒","🔒",,
"AutoZone",431,302,"🔒","🔒","🔒","🔒",,
"Pfizer",432,319,"🔒","🔒","🔒","🔒",,
"FIS",433,334,"🔒","🔒","🔒","🔒",,
"Lenovo",434,435,"🔒","🔒","🔒","🔒",,
"Innogy",435,"-","🔒","🔒","🔒","🔒",,
"CJ Group",436,437,"🔒","🔒","🔒","🔒",,
"China Southern",437,430,"🔒","🔒","🔒","🔒",,
"Repsol",438,448,"🔒","🔒","🔒","🔒",,
"Micron Technology",439,"-","🔒","🔒","🔒","🔒",,
"Reliance",440,318,"🔒","🔒","🔒","🔒",,
"Christian Dior",441,"-","🔒","🔒","🔒","🔒",,
"Carmax",442,379,"🔒","🔒","🔒","🔒",,
"OCBC Bank",443,440,"🔒","🔒","🔒","🔒",,
"Maybelline",444,346,"🔒","🔒","🔒","🔒",,
"Gree Electric Appliances",445,"-","🔒","🔒","🔒","🔒",,
"CSX",446,399,"🔒","🔒","🔒","🔒",,
"Fujitsu",447,331,"🔒","🔒","🔒","🔒",,
"Bloomberg",448,407,"🔒","🔒","🔒","🔒",,
"Polo Ralph Lauren",449,345,"🔒","🔒","🔒","🔒",,
"Aflac",450,357,"🔒","🔒","🔒","🔒",,
"Optus",451,"-","🔒","🔒","🔒","🔒",,
"Sun Hung Kai Properties",452,"-","🔒","🔒","🔒","🔒",,
"GS Group",453,411,"🔒","🔒","🔒","🔒",,
"ISUZU",454,366,"🔒","🔒","🔒","🔒",,
"Nvidia",455,"-","🔒","🔒","🔒","🔒",,
"Atos",456,426,"🔒","🔒","🔒","🔒",,
"Cathay Life Insurance Co",457,"-","🔒","🔒","🔒","🔒",,
