"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Amazon",1,3,"150810.92","106396.35","AAA-","AAA-",,
"Apple",2,2,"146311.06","107141.41","AAA+","AAA",,
"Google",3,1,"120911.44","109469.63","AAA+","AAA+",,
"Samsung",4,6,"92288.99","66217.91","AAA+","AAA-",,
"AT&T",5,4,"82422.22","87015.61","AAA-","AAA",,
"Microsoft",6,5,"81162.91","76265.32","AAA+","AAA",,
"Facebook",7,9,"76526.39","61997.75","AAA+","AAA",,
"Verizon",8,7,"62825.55","65874.71","AAA-","AAA-",,
"Walmart",9,8,"61480.15","62210.85","AA+","AA+",,
"ICBC",10,10,"59188.77","47832.39","AAA+","AAA",,
"China Construction Bank",11,14,"56788.83","41377.34","AAA","AAA-",,
"China Mobile",12,11,"53225.63","46734.41","AAA","AAA",,
"Mercedes-Benz",13,19,"47936.00","35544.01","AA+","AAA-",,
"Wells Fargo",14,13,"44098.04","41617.53","AAA-","AA+",,
"Toyota",15,12,"43701.22","46254.73","AAA-","AAA-",,
"BMW",16,16,"41789.61","39335.09","AAA","AAA-",,
"Bank of China",17,26,"41749.78","31250.45","AAA","AAA",,
"State Grid",18,"-","40944.27","-","AA+","-",,
"NTT Group",19,15,"40872.18","40541.82","AA+","AA+",,
"Tencent",20,45,"40774.18","22286.85","AAA","AAA",,
"T (Deutsche Telekom)",21,17,"40152.42","36433.19","AA+","AA+",,
"Volkswagen",22,38,"39960.02","25013.79","AA","AAA",,
"Shell",23,"-","39423.40","-","AAA-","-",,
"Chase",24,23,"38842.20","33736.51","AAA","AAA-",,
"Huawei",25,37,"38046.00","25230.39","AAA-","AAA-",,
"Agricultural Bank Of China",26,31,"37320.87","28511.16","AAA","AA+",,
"Home Depot",27,28,"33747.91","30216.36","AAA-","AAA-",,
"Bank of America",28,27,"33289.08","30272.83","AAA-","AAA-",,
"Ping An",29,46,"32608.69","22272.80","AAA-","AA+",,
"Walt Disney",30,22,"32589.69","34454.21","AAA+","AAA+",,
"IBM",31,18,"32478.47","36112.20","AAA-","AA+",,
"Starbucks",32,36,"32420.60","25615.25","AAA","AAA",,
"General Electric",33,20,"32004.58","35318.05","AAA","AAA",,
"PetroChina",34,30,"31176.74","29002.58","AA+","AA+",,
"Citi",35,32,"30783.03","27674.47","AA+","AA+",,
"Marlboro",36,24,"30513.43","32470.90","AA+","AA+",,
"Coca-Cola",37,"-","30378.05","-","AAA","-",,
"Oracle",38,35,"29633.57","25878.44","AA","AA",,
"Nike",39,25,"28030.32","31762.49","AAA","AAA+",,
"Xfinity",40,34,"26121.41","26179.62","AA+","AA+",,
"YouTube",41,103,"25886.82","12122.53","AAA","AAA",,
"Mitsubishi Group",42,33,"25279.97","27652.61","AA-","A+",,
"McDonald's",43,56,"24872.08","20291.25","AAA+","AAA",,
"China Telecom",44,63,"23979.18","17598.69","AA+","AA+",,
"Sinopec",45,29,"23640.28","29555.39","AA","AA+",,
"WeChat",46,92,"22415.23","13189.08","AAA","AAA-",,
"PWC",47,59,"22287.10","18509.72","AAA+","AAA+",,
"Orange",48,49,"22206.27","21526.12","AAA-","AAA-",,
"Honda",49,50,"22132.29","21317.60","AAA-","AAA-",,
"Intel",50,55,"22059.15","20369.05","AAA","AAA",,
"UPS",51,47,"22002.55","22127.74","AAA-","AAA-",,
"Siemens",52,44,"21956.00","23088.03","AAA","AAA-",,
"Moutai",53,99,"21242.66","12283.17","AAA-","AAA-",,
"Baidu",54,105,"21046.47","11813.35","AAA","AA+",,
"Total",55,58,"20971.24","18514.21","AAA-","AAA-",,
"Deloitte",56,70,"20838.16","16775.91","AAA+","AAA",,
"Visa",57,"-","20650.70","-","AAA+","-",,
"CVS",58,42,"20603.24","23286.28","AA+","AA+",,
"Allianz",59,78,"20229.12","15197.41","AAA-","AA",,
"Pepsi",60,60,"20034.71","18469.74","AAA","AAA",,
"Boeing",61,72,"19936.39","16333.25","AAA+","AAA",,
"JD.com",62,90,"19623.01","13377.22","A","A+",,
"BP",63,"-","19609.70","-","AA+","-",,
"Cisco",64,53,"19411.21","20734.11","AA+","AA+",,
"IKEA",65,40,"19387.51","24118.87","AA+","AA",,
"Nissan",66,39,"19375.70","24768.15","AA+","AAA-",,
"Nestlé",67,"-","19369.76","-","AAA-","-",,
"Bosch",68,62,"19341.27","17990.90","AA+","AAA-",,
"Porsche",69,98,"19055.00","12396.34","AAA","AAA",,
"Porsche",70,"-","19054.87","-","AAA","-",,
"H&M",71,57,"18959.33","19176.95","AAA","AAA",,
"SoftBank",72,54,"18927.75","20621.32","AA+","AA",,
"Vodafone",73,"-","18743.89","-","AA+","-",,
"UnitedHealth Group",74,89,"18613.59","13378.65","AA","AA",,
"HSBC",75,"-","18305.44","-","AA","-",,
"Ford",76,43,"18172.00","23225.00","AAA-","AAA-",,
"FedEx",77,66,"18169.57","17092.21","AA+","AA+",,
"Hyundai Group",78,41,"17754.48","23394.69","AA-","AA-",,
"Johnson's",79,69,"17662.51","16828.82","AAA+","AAA",,
"J.P. Morgan",80,77,"17651.08","15710.34","AA+","AA",,
"Zara",81,83,"17452.62","14399.13","AAA","AAA-",,
"EY",82,"-","17130.49","-","AAA+","-",,
"SAP",83,79,"17057.32","15157.83","AA-","AA-",,
"Fox",84,75,"17007.19","15814.01","AAA-","AAA-",,
"Accenture",85,64,"16804.77","17464.44","AA+","AA+",,
"LG Group",86,102,"16796.31","12195.57","AA+","AA",,
"China Merchants Bank",87,84,"16673.21","14269.47","AAA-","AAA-",,
