"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Amazon",1,8,"69642.27","56124.06","AA+","AAA-",,
"Verizon",2,5,"63116.32","59843.21","AAA","AAA-",,
"AT&T",3,6,"59903.58","58820.00","AA","AA+",,
"Samsung",4,2,"58619.07","81715.59","AAA","AAA-",,
"Walmart",5,7,"53656.52","56705.00","AA","AA+",,
"China Mobile",6,11,"49809.75","47915.78","AAA-","AAA-",,
"Wells Fargo",7,15,"44169.68","34925.23","AA+","AAA-",,
"Toyota",8,14,"43064.35","35016.57","AAA-","AAA-",,
"McDonald's",9,9,"42936.68","52909.00","AAA","AAA-",,
"ICBC",10,22,"36334.23","27458.93","AA+","AA+",,
"China Construction Bank",11,27,"35394.00","26417.24","AAA","AAA-",,
"BMW",12,16,"34967.82","33079.38","AAA","AAA",,
"Coca-Cola",13,12,"34179.93","35796.93","AAA+","AAA+",,
"T (Deutsche Telekom)",14,17,"33194.18","31107.93","AA+","AA+",,
"Agricultural Bank Of China",15,37,"32261.00","22714.05","AAA","AA+",,
"Mercedes-Benz",16,24,"32048.76","27327.66","AAA","AAA",,
"NTT Group",17,23,"31678.26","27375.64","AA","AA-",,
"Shell",18,19,"31665.29","30716.42","AA+","AAA-",,
"Chase",19,34,"30602.97","23392.00","AAA-","AA",,
"Marlboro",20,21,"29935.00","28608.15","AAA-","AAA-",,
"Home Depot",21,31,"28798.18","24471.12","AAA-","AA+",,
"Nike",22,33,"28041.16","24118.43","AAA-","AAA+",,
"Vodafone",23,25,"27819.68","27286.86","AA+","AA+",,
"Mitsubishi Group",24,38,"27774.82","22679.00","AA","AA",,
"Bank of China",25,47,"27735.02","20391.69","AAA","AAA-",,
"Bank of America",26,29,"26927.51","25713.29","AA","AA+",,
"Citi",27,28,"26031.04","26209.96","AA+","AA+",,
"Xfinity",28,"-","24186.00","-","AA+","-",,
"HSBC",29,26,"24172.28","27280.03","AAA-","AAA",,
"Hyundai Group",30,53,"23796.29","19357.00","AA+","AAA-",,
"Nestlé",31,43,"23395.00","21225.26","AAA","AAA",,
"Starbucks",32,"-","23184.52","-","AAA-","-",,
"CVS Caremark",33,48,"22891.00","20266.66","AA+","AA+",,
"Ford",34,45,"20342.00","20860.00","AA","AA+",,
"CSCEC",35,107,"20214.25","10806.17","AA-","AA-",,
"UPS",36,51,"19565.28","19537.00","AAA-","AA+",,
"Honda",37,39,"19332.43","22423.52","AAA-","AAA-",,
"ExxonMobil",38,55,"19226.89","18242.48","AA","AA+",,
"SoftBank",39,64,"19135.00","16038.89","AA","AA",,
"Orange",40,49,"19095.63","19866.70","AA+","AA+",,
"Siemens",41,46,"19001.62","20508.30","AA+","AA+",,
"Pepsi",42,41,"18947.24","21379.41","AAA","AAA-",,
"Volkswagen",43,18,"18923.18","31025.27","AA+","AAA-",,
"PWC",44,61,"18569.30","17330.09","AAA+","AAA+",,
"American Express",45,40,"18482.67","21567.36","AA+","AA+",,
"BT",46,63,"18442.23","16175.21","AAA-","AAA-",,
"Alibaba",47,"-","17968.27","-","AA+","-",,
"Chevron",48,56,"17821.59","18162.54","AA+","AA+",,
"Nissan",49,57,"17785.46","18084.95","AAA-","AA+",,
"IKEA",50,"-","17009.27","-","AA","-",,
"BP",51,71,"16962.01","14743.22","AA","AA+",,
"Allianz",52,44,"16426.41","20937.14","AA","AA+",,
"Barclays",53,79,"16235.86","14205.80","AA","AA",,
"Deloitte",54,74,"16159.63","14694.16","AAA","AAA",,
"NBC",55,96,"16103.47","12004.48","AAA+","AAA-",,
"Santander",56,54,"15688.51","18700.48","AA+","AAA-",,
"Bosch",57,"-","15611.56","-","AAA-","-",,
"Fox",58,76,"15540.84","14502.60","AAA-","AAA-",,
"BNP Paribas",59,70,"15530.86","14938.58","AA+","AA",,
"H&M",60,73,"15510.16","14715.41","AA+","AA",,
"Target",61,65,"15331.23","15380.69","AA","AA",,
"UnitedHealth Group",62,115,"14933.52","10230.62","AA","AA",,
"Total",63,68,"14736.56","15203.47","AA","AA",,
"Walgreens",64,67,"14315.13","15345.00","AA","AA+",,
"China Telecom",65,80,"13684.09","14064.34","AA","AA+",,
"China Merchants Bank",66,134,"13238.58","8880.28","AAA","AAA-",,
"FedEx",67,82,"13079.37","13672.18","AA","AA+",,
"J.P. Morgan",68,97,"12948.00","11958.17","AA-","AA",,
"au",69,87,"12788.49","12676.51","AA","AA+",,
"Lowe's",70,85,"12717.48","12789.93","AA","AA",,
"EY",71,104,"12671.98","10993.88","AAA","AAA-",,
"Ping An",72,100,"12670.96","11513.46","AAA+","AA+",,
"MUFG",73,75,"12650.84","14511.33","AA","AA",,
"Tesco",74,103,"12499.33","11052.00","AA","AA",,
"Costco",75,108,"11846.76","10551.00","AA+","AA",,
"Capital One",76,123,"11658.10","9391.66","AAA-","AA",,
"Engie",77,"-","11443.26","-","AA","-",,
"L'Oréal",78,90,"11076.26","12479.73","AAA+","AAA+",,
"Sky",79,"-","11059.99","-","AAA-","-",,
"Telstra",80,136,"10706.77","8708.45","AAA-","AAA-",,
"KPMG",81,93,"10689.18","12332.13","AAA-","AAA-",,
"China Life",82,112,"10685.59","10380.27","AAA","AA",,
"Bank of Communications",83,165,"10486.32","7124.39","AAA","AA+",,
"Louis Vuitton",84,207,"10444.00","6132.33","AAA-","AAA",,
"China Unicom",85,81,"10414.47","13790.85","AA","AA+",,
"Airbus",86,86,"10290.49","12744.19","AA+","AAA-",,
"Anthem",87,"-","10262.88","-","AA","-",,
"Zara",88,138,"10086.33","8622.04","AA+","AAA-",,
"Royal Bank Of Canada",89,91,"9879.57","12472.78","AA-","AA",,
"Audi",90,120,"9835.59","9591.45","AAA-","AA+",,
"Dell",91,"-","9786.31","-","AA","-",,
"DHL",92,116,"9722.89","9888.95","AA","AA",,
"TD Bank",93,101,"9607.11","11127.16","AA","AA+",,
"DirecTV",94,113,"9476.17","10335.35","AAA-","AA+",,
"Ericsson",95,127,"9445.43","9156.55","AA+","AA+",,
"Carrefour",96,119,"9366.00","9635.59","AA","AA",,
"Bell",97,154,"9197.79","7637.73","AAA-","AA+",,
"JD.com",98,182,"9193.60","6698.25","A+","A+",,
"Time Warner Cable",99,147,"9162.24","8276.00","AA","AA+",,
"CRECG",100,"-","9127.00","-","A+","-",,
"EDF",101,118,"🔒","🔒","🔒","🔒",,
"SAP",102,109,"🔒","🔒","🔒","🔒",,
"CRCC",103,449,"🔒","🔒","🔒","🔒",,
"Eni",104,149,"🔒","🔒","🔒","🔒",,
"UBS",105,99,"🔒","🔒","🔒","🔒",,
"Mitsui Group",106,60,"🔒","🔒","🔒","🔒",,
"Chevrolet",107,164,"🔒","🔒","🔒","🔒",,
"Central Japan Rail",108,"-","🔒","🔒","🔒","🔒",,
"Axa",109,52,"🔒","🔒","🔒","🔒",,
"ALDI",110,"-","🔒","🔒","🔒","🔒",,
"SK Group",111,106,"🔒","🔒","🔒","🔒",,
"Lidl",112,132,"🔒","🔒","🔒","🔒",,
"Deutsche Bank",113,105,"🔒","🔒","🔒","🔒",,
"KFC",114,111,"🔒","🔒","🔒","🔒",,
"eBay",115,117,"🔒","🔒","🔒","🔒",,
"China Minsheng Bank",116,225,"🔒","🔒","🔒","🔒",,
"Renault",117,140,"🔒","🔒","🔒","🔒",,
"O2",118,143,"🔒","🔒","🔒","🔒",,
"Goldman Sachs",119,122,"🔒","🔒","🔒","🔒",,
"Lloyds Bank",120,176,"🔒","🔒","🔒","🔒",,
"Morgan Stanley",121,133,"🔒","🔒","🔒","🔒",,
"Danone",122,144,"🔒","🔒","🔒","🔒",,
"Movistar",123,110,"🔒","🔒","🔒","🔒",,
"Philips",124,148,"🔒","🔒","🔒","🔒",,
"Sprint",125,177,"🔒","🔒","🔒","🔒",,
"Land Rover",126,195,"🔒","🔒","🔒","🔒",,
"Enel",127,162,"🔒","🔒","🔒","🔒",,
"Cartier",128,186,"🔒","🔒","🔒","🔒",,
"Hilton",129,"-","🔒","🔒","🔒","🔒",,
"ING",130,"-","🔒","🔒","🔒","🔒",,
"ING",131,"-","🔒","🔒","🔒","🔒",,
"CBS",132,142,"🔒","🔒","🔒","🔒",,
"Woolworths",133,131,"🔒","🔒","🔒","🔒",,
"Emirates",134,"-","🔒","🔒","🔒","🔒",,
"Union Pacific",135,173,"🔒","🔒","🔒","🔒",,
"Hermes",136,175,"🔒","🔒","🔒","🔒",,
"Metlife",137,166,"🔒","🔒","🔒","🔒",,
"ANZ",138,187,"🔒","🔒","🔒","🔒",,
"Rabobank",139,"-","🔒","🔒","🔒","🔒",,
"AIA",140,262,"🔒","🔒","🔒","🔒",,
"Cognizant",141,404,"🔒","🔒","🔒","🔒",,
"CRRC",142,247,"🔒","🔒","🔒","🔒",,
"Scotiabank",143,170,"🔒","🔒","🔒","🔒",,
"Uniqlo",144,199,"🔒","🔒","🔒","🔒",,
"ABC",145,"-","🔒","🔒","🔒","🔒",,
"Credit Suisse",146,126,"🔒","🔒","🔒","🔒",,
"Kellogg's",147,167,"🔒","🔒","🔒","🔒",,
"Société Générale",148,159,"🔒","🔒","🔒","🔒",,
"Gillette",149,130,"🔒","🔒","🔒","🔒",,
"Commonwealth Bank of Australia",150,157,"🔒","🔒","🔒","🔒",,
"China CITIC Bank",151,258,"🔒","🔒","🔒","🔒",,
"Aetna",152,198,"🔒","🔒","🔒","🔒",,
"Adidas",153,161,"🔒","🔒","🔒","🔒",,
"Marubeni",154,206,"🔒","🔒","🔒","🔒",,
"BBC",155,"-","🔒","🔒","🔒","🔒",,
"Panasonic",156,125,"🔒","🔒","🔒","🔒",,
"ASDA",157,150,"🔒","🔒","🔒","🔒",,
"Swisscom",158,218,"🔒","🔒","🔒","🔒",,
"Toshiba",159,128,"🔒","🔒","🔒","🔒",,
"Vanke",160,229,"🔒","🔒","🔒","🔒",,
