"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Coca-Cola",1,1,"45440.81","43146.35","AAA+","AAA+",,
"Microsoft",2,2,"44500.59","37073.51","AAA","AAA+",,
"Google",3,15,"43084.00","24687.30","AAA","AAA+",,
"Walmart",4,4,"39001.01","34898.00","A","A",,
"IBM",5,5,"37948.58","34074.04","AA","AA-",,
"GE",6,7,"36122.00","31849.56","AA+","AA+",,
"HSBC",7,6,"35455.88","33494.71","AAA","AAA",,
"HP",8,9,"34109.05","29445.00","AA","AA+",,
"Nokia",9,17,"33116.16","24280.34","AAA-","AAA",,
"Citi",10,3,"27817.32","35147.91","AA","AA+",,
"Vodafone",11,11,"26593.78","26752.23","AA+","AA",,
"Toyota",12,16,"26055.91","24534.39","AA","AA-",,
"L'Oréal",13,14,"25797.22","25049.61","AA+","AA+",,
"Intel",14,13,"25526.81","25095.01","AA+","AA+",,
"Bank of America",15,8,"25417.05","31425.53","AA+","AA+",,
"Pepsi",16,19,"24813.01","23948.48","AA","AA",,
"Dell",17,20,"24672.35","23620.72","AAA-","AAA",,
"AT&T",18,63,"24601.18","10022.64","AA-","A+",,
"Verizon",19,23,"24388.04","19910.36","A+","A+",,
"Marlboro",20,"-","23705.00","-","AA-","-",,
"McDonald's",21,18,"21811.64","24082.97","AAA","AAA+",,
"Nike",22,26,"21807.27","17817.90","AAA","AAA+",,
"Apple",23,43,"21778.84","12808.91","AAA+","AAA+",,
"Santander",24,27,"20717.69","17063.23","AA-","AA-",,
"Tesco",25,32,"20472.35","16136.47","AA+","AA+",,
"Mercedes-Benz",26,22,"20159.73","22551.04","AAA-","AAA-",,
"Disney",27,21,"19709.73","23144.93","AAA-","AAA-",,
"Orange",28,56,"18346.90","10721.00","AA","AA-",,
"Cisco",29,28,"18112.89","16782.10","AA","AA",,
"BMW",30,25,"17215.31","17859.89","AAA","AAA+",,
"Budweiser",31,31,"17160.42","16196.49","AAA-","AAA-",,
"American Express",32,24,"16183.16","18109.43","AAA","AAA-",,
"Shell",33,33,"15540.03","15620.90","AAA-","AAA-",,
"The Home Depot",34,34,"15398.10","15359.52","AA-","A+",,
"AXA",35,37,"15236.09","14389.04","A","A-",,
"AIG",36,36,"15128.00","14851.36","A","A-",,
"UPS",37,39,"14839.78","14168.25","AA","AA-",,
"Chase",38,48,"14797.61","12082.00","A+","AA-",,
"BNP Paribas",39,46,"14636.97","12277.84","AA-","A",,
"Time Warner Cable",40,29,"14229.25","16733.80","A+","AA-",,
"Allianz",41,40,"14138.00","13861.69","AA-","A+",,
"Samsung",42,30,"13970.99","16536.56","A+","A+",,
"China Mobile",43,51,"13867.32","11018.00","AA","A+",,
"Honda",44,54,"13648.66","10792.71","AA","AA-",,
"Target",45,53,"13419.01","10840.95","A+","AA-",,
"Wells Fargo",46,38,"13130.16","14276.58","AA","AA",,
"ExxonMobil",47,41,"12619.24","13148.36","AA-","A+",,
"Goldman Sachs",48,79,"12519.90","8711.90","AA","A+",,
"Carrefour",49,59,"12404.00","10511.94","A+","A",,
"Sony",50,57,"12383.09","10621.69","AAA","AAA+",,
"Ford",51,58,"12382.12","10558.78","A+","AA-",,
"Generali",52,42,"12374.34","12894.75","A","A",,
"Credit Suisse",53,50,"12139.77","11518.91","A-","A-",,
"Nintendo",54,104,"12122.86","6775.51","AA+","AAA-",,
"BP",55,45,"11784.16","12375.79","AA","AA+",,
"Siemens",56,60,"11741.76","10363.11","AAA-","AAA-",,
"Barclays",57,47,"11582.17","12182.09","A-","A",,
"UBS",58,35,"11338.71","15137.22","A+","AA-",,
"CVS",59,102,"11297.90","7042.66","AA-","A-",,
"Comcast",60,55,"11253.94","10776.57","AA-","AA-",,
"Heineken",61,85,"10493.74","8311.97","AA+","AAA-",,
"Hitachi",62,73,"10337.74","9171.07","A","A",,
"ING",63,62,"10046.00","10178.04","AA-","BBB",,
"Walgreens",64,80,"9980.96","8701.04","A+","AA-",,
"Suez",65,133,"9725.27","5609.87","A-","A-",,
"FedEx",66,72,"9633.02","9226.83","AA-","AA-",,
"Amazon.com",67,135,"9608.00","5493.82","AA-","AA-",,
"Oracle",68,83,"9512.75","8386.64","AA+","AAA-",,
"TIM",69,74,"9433.62","9097.19","AA+","AA",,
"Canon",70,87,"9337.68","8186.48","AA","AA",,
"Chevron",71,89,"9235.03","8085.36","AA-","A+",,
"DHL",72,"-","9122.60","-","A","-",,
"JPMorgan",73,113,"9064.33","6383.14","A+","A",,
"Lowe's",74,67,"9042.64","9655.99","A+","AA-",,
"FOX",75,110,"9012.88","6436.19","AA","A+",,
"T (Deutsche Telekom)",76,82,"8958.97","8475.00","A+","A+",,
"Sam's Club",77,"-","8954.90","-","A","-",,
"Philips",78,88,"8852.61","8169.48","AA+","AA+",,
"Nissan",79,101,"8807.60","7085.04","A-","A",,
"Nestlé",80,127,"8798.61","5707.13","AAA","AA+",,
"Stella Artois",81,84,"8700.14","8377.85","AA","AA",,
"WACHOVIA CORP",82,71,"8686.33","9430.15","AA-","AA-",,
"Deutsche Bank",83,86,"8585.34","8239.94","AA-","A-",,
"ICBC",84,"-","8426.72","-","A-","-",,
"BBVA",85,98,"8410.73","7552.87","AA-","AA-",,
"Motorola",86,61,"8386.67","10234.46","A+","A+",,
"Nescafé",87,75,"8322.41","9001.73","AA","AA",,
"VW (Volkswagen)",88,96,"8210.19","7827.25","AA","AA-",,
"Zurich",89,"-","8078.75","-","A-","-",,
"Yahoo!",90,99,"8069.44","7444.86","AA-","AA-",,
"SAP",91,103,"8021.32","6834.19","AA-","AA",,
"Movistar",92,111,"7948.75","6430.00","A+","A+",,
"Johnson & Johnson",93,114,"7871.86","6309.49","A","A",,
"China Construction Bank",94,"-","7785.56","-","A-","-",,
"Intesa Sanpaolo",95,225,"7779.42","2565.33","A+","B",,
"Winston",96,"-","7604.05","-","A","-",,
"Boeing",97,108,"7599.75","6606.62","A+","BBB",,
"Ericsson",98,106,"7568.71","6696.92","AA-","AA-",,
"NTT DoCoMo",99,90,"7538.30","8061.00","AA-","A",,
"3M",100,109,"7416.25","6591.77","AA-","A+",,
"Benson and Hedges",101,97,"🔒","🔒","🔒","🔒",,
"Chrysler",102,81,"🔒","🔒","🔒","🔒",,
"Toshiba",103,"-","🔒","🔒","🔒","🔒",,
"BT",104,144,"🔒","🔒","🔒","🔒",,
"NATWEST",105,128,"🔒","🔒","🔒","🔒",,
"Société Générale",106,94,"🔒","🔒","🔒","🔒",,
"Mild Seven",107,"-","🔒","🔒","🔒","🔒",,
"Morgan Stanley",108,78,"🔒","🔒","🔒","🔒",,
"7-eleven",109,"-","🔒","🔒","🔒","🔒",,
"Sprint",110,112,"🔒","🔒","🔒","🔒",,
"adidas",111,143,"🔒","🔒","🔒","🔒",,
"RWE",112,183,"🔒","🔒","🔒","🔒",,
"Bank of China",113,"-","🔒","🔒","🔒","🔒",,
"Caterpillar",114,130,"🔒","🔒","🔒","🔒",,
"E.ON",115,178,"🔒","🔒","🔒","🔒",,
"Renault",116,116,"🔒","🔒","🔒","🔒",,
"Aviva",117,"-","🔒","🔒","🔒","🔒",,
"ASDA",118,132,"🔒","🔒","🔒","🔒",,
"eBay",119,107,"🔒","🔒","🔒","🔒",,
"Colgate",120,150,"🔒","🔒","🔒","🔒",,
"Chevrolet",121,64,"🔒","🔒","🔒","🔒",,
"Miller Genuine Draft",122,"-","🔒","🔒","🔒","🔒",,
"Prudential",123,"-","🔒","🔒","🔒","🔒",,
"Playstation",124,145,"🔒","🔒","🔒","🔒",,
"Unitedhealth",125,"-","🔒","🔒","🔒","🔒",,
"Telefónica",126,137,"🔒","🔒","🔒","🔒",,
"Standard Chartered",127,182,"🔒","🔒","🔒","🔒",,
"Manulife",128,123,"🔒","🔒","🔒","🔒",,
"EDF",129,189,"🔒","🔒","🔒","🔒",,
"TEPCO",130,169,"🔒","🔒","🔒","🔒",,
"Sainsbury's",131,"-","🔒","🔒","🔒","🔒",,
"GlaxoSmithKline",132,105,"🔒","🔒","🔒","🔒",,
"Metro",133,213,"🔒","🔒","🔒","🔒",,
"RBS",134,155,"🔒","🔒","🔒","🔒",,
"National Australia Bank",135,142,"🔒","🔒","🔒","🔒",,
"Credit Agricole",136,125,"🔒","🔒","🔒","🔒",,
"Novartis",137,122,"🔒","🔒","🔒","🔒",,
"LLOYDS TSB",138,121,"🔒","🔒","🔒","🔒",,
"Panasonic",139,120,"🔒","🔒","🔒","🔒",,
"Reliance India",140,"-","🔒","🔒","🔒","🔒",,
"Danone",141,"-","🔒","🔒","🔒","🔒",,
"Fujitsu",142,"-","🔒","🔒","🔒","🔒",,
"Merrill Lynch",143,77,"🔒","🔒","🔒","🔒",,
"Anthem",144,177,"🔒","🔒","🔒","🔒",,
"Starbucks",145,117,"🔒","🔒","🔒","🔒",,
"Porsche",146,159,"🔒","🔒","🔒","🔒",,
"KFC",147,126,"🔒","🔒","🔒","🔒",,
"Sears",148,"-","🔒","🔒","🔒","🔒",,
"H&M",149,153,"🔒","🔒","🔒","🔒",,
"MetLife",150,"-","🔒","🔒","🔒","🔒",,
"Louis Vuitton",151,138,"🔒","🔒","🔒","🔒",,
"Sharp",152,166,"🔒","🔒","🔒","🔒",,
"Safeway",153,"-","🔒","🔒","🔒","🔒",,
"RBC",154,171,"🔒","🔒","🔒","🔒",,
"Marks & Spencer",155,160,"🔒","🔒","🔒","🔒",,
"Estée Lauder",156,140,"🔒","🔒","🔒","🔒",,
"Alcatel-Lucent",157,"-","🔒","🔒","🔒","🔒",,
"Total",158,158,"🔒","🔒","🔒","🔒",,
"América Móvil",159,175,"🔒","🔒","🔒","🔒",,
"Allstate",160,136,"🔒","🔒","🔒","🔒",,
"Lexus",161,168,"🔒","🔒","🔒","🔒",,
"Roche",162,115,"🔒","🔒","🔒","🔒",,
"Sanofi",163,146,"🔒","🔒","🔒","🔒",,
"Dodge",164,"-","🔒","🔒","🔒","🔒",,
"Xerox",165,148,"🔒","🔒","🔒","🔒",,
"Audi",166,174,"🔒","🔒","🔒","🔒",,
"The Bank of New York Mellon",167,235,"🔒","🔒","🔒","🔒",,
"Sinopec",168,163,"🔒","🔒","🔒","🔒",,
"ABN AMRO",169,70,"🔒","🔒","🔒","🔒",,
"NEC",170,139,"🔒","🔒","🔒","🔒",,
"Kroger",171,"-","🔒","🔒","🔒","🔒",,
"Fiat",172,"-","🔒","🔒","🔒","🔒",,
"Swiss Re",173,"-","🔒","🔒","🔒","🔒",,
"Heinz",174,147,"🔒","🔒","🔒","🔒",,
"Telstra",175,"-","🔒","🔒","🔒","🔒",,
"Macy's",176,"-","🔒","🔒","🔒","🔒",,
"UniCredit",177,"-","🔒","🔒","🔒","🔒",,
"O2",178,244,"🔒","🔒","🔒","🔒",,
"Volvo",179,165,"🔒","🔒","🔒","🔒",,
"AEGON",180,"-","🔒","🔒","🔒","🔒",,
"Prudential",181,92,"🔒","🔒","🔒","🔒",,
"Chūbu Electric Power",182,"-","🔒","🔒","🔒","🔒",,
"Best Buy",183,"-","🔒","🔒","🔒","🔒",,
"Pizza Hut",184,"-","🔒","🔒","🔒","🔒",,
"Pfizer",185,131,"🔒","🔒","🔒","🔒",,
"Lufthansa",186,187,"🔒","🔒","🔒","🔒",,
"Woolworths",187,"-","🔒","🔒","🔒","🔒",,
"FORTIS",188,206,"🔒","🔒","🔒","🔒",,
"AOL",189,180,"🔒","🔒","🔒","🔒",,
"MBNA",190,"-","🔒","🔒","🔒","🔒",,
"Commonwealth Bank of Australia",191,201,"🔒","🔒","🔒","🔒",,
"Capital One",192,129,"🔒","🔒","🔒","🔒",,
"Harley-Davidson",193,149,"🔒","🔒","🔒","🔒",,
"EMC2",194,200,"🔒","🔒","🔒","🔒",,
"U.S. Bank",195,190,"🔒","🔒","🔒","🔒",,
"American Airlines",196,154,"🔒","🔒","🔒","🔒",,
"HALIFAX",197,156,"🔒","🔒","🔒","🔒",,
"Blackberry",198,"-","🔒","🔒","🔒","🔒",,
"Enel",199,241,"🔒","🔒","🔒","🔒",,
"Gaz de France",200,"-","🔒","🔒","🔒","🔒",,
"Morrisons",201,"-","🔒","🔒","🔒","🔒",,
"Indian Oil",202,"-","🔒","🔒","🔒","🔒",,
"Mizuho Bank",203,124,"🔒","🔒","🔒","🔒",,
"Peugeot",204,164,"🔒","🔒","🔒","🔒",,
"Bradesco",205,231,"🔒","🔒","🔒","🔒",,
"Travelers",206,"-","🔒","🔒","🔒","🔒",,
"CBS",207,181,"🔒","🔒","🔒","🔒",,
"TD",208,"-","🔒","🔒","🔒","🔒",,
