"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Apple",1,1,"87304.40","70605.16","AAA","AAA+",,
"Samsung Group",2,6,"58771.00","38197.00","AAA","AAA-",,
"Google",3,2,"52132.30","47462.77","AAA+","AAA+",,
"Microsoft",4,3,"45534.90","45811.99","AAA-","AAA+",,
"Walmart",5,5,"42302.90","38319.50","AA+","AA",,
"IBM",6,4,"37720.60","39135.21","AA+","AA+",,
"GE",7,7,"37161.20","33214.19","AA","AA+",,
"Amazon.com",8,10,"36788.00","28664.84","AAA-","AA+",,
"Coca-Cola",9,8,"34204.63","31082.03","AAA+","AAA+",,
"Verizon",10,12,"30728.70","27616.18","AA+","AA",,
"AT&T",11,11,"30406.50","28379.39","AA+","AA+",,
"Shell",12,19,"29310.00","22021.49","AAA-","AAA-",,
"Vodafone",13,9,"27008.94","30044.05","AAA","AAA+",,
"Wells Fargo",14,16,"26043.60","23229.19","AA+","AA+",,
"Toyota",15,15,"25979.24","24460.72","AA+","AA",,
"Volkswagen",16,35,"23665.82","17757.81","AAA-","AA",,
"The Home Depot",17,23,"23423.40","20902.11","AA-","AA-",,
"Chase",18,28,"23408.30","18963.79","AAA-","AA+",,
"China Mobile",19,34,"23296.10","17919.33","AA","AA",,
"BMW",20,22,"23235.65","21261.53","AAA","AAA-",,
"HSBC",21,13,"22864.55","27597.21","AAA-","AAA",,
"Bank of America",22,17,"22397.30","22910.00","AA+","AA+",,
"Citi",23,29,"21676.60","18638.56","AA+","AA+",,
"McDonald's",24,18,"21641.50","22230.04","AAA-","AAA",,
"Intel",25,20,"21138.50","21907.61","AA+","AA+",,
"Disney",26,49,"20547.90","15391.85","AAA","AAA",,
"Mercedes-Benz",27,26,"20298.09","19761.79","AAA-","AAA-",,
"Santander",28,25,"20118.90","19969.17","AAA-","AAA-",,
"Hyundai",29,103,"19906.00","8326.00","AA+","AA+",,
"ICBC",30,52,"19819.73","15163.78","AA+","AA+",,
"Siemens",31,45,"19647.43","16320.45","AAA-","AA+",,
"Ford",32,36,"19623.10","17559.28","AA+","AA+",,
"American Express",33,32,"19004.30","18230.89","AAA-","AAA-",,
"Pepsi",34,38,"18701.10","17096.31","AAA-","AAA-",,
"BNP Paribas",35,40,"18572.99","16808.67","AAA-","AA+",,
"Tata",36,44,"18169.00","16342.94","AAA-","AAA-",,
"Nestlé",37,345,"18075.20","3143.63","AA+","AA",,
"Tesco",38,24,"17918.49","20050.61","AAA-","AAA-",,
"Chevron",39,37,"17674.00","17510.51","AA+","AA+",,
"Nissan",40,56,"17646.46","14167.27","AA+","AA-",,
"Target",41,50,"17460.10","15267.02","AAA-","AA",,
"China Construction Bank",42,47,"16948.66","15464.06","AA","AA",,
"ExxonMobil",43,42,"16907.10","16418.69","AA","AAA-",,
"GDF Suez",44,41,"16686.05","16597.75","AA+","AA",,
"Hitachi Group",45,"-","16588.00","-","AA-","-",,
"UPS",46,33,"16571.90","18082.54","AA","AA+",,
"IKEA",47,"-","16569.81","-","AA","-",,
"Orange",48,31,"16341.77","18556.99","AA+","AA+",,
"Honda",49,53,"16113.81","14963.19","AA+","AA",,
"HP",50,21,"16112.70","21706.99","A+","AA+",,
"Oracle",51,39,"16047.00","17031.04","AA-","AA+",,
"Agricultural Bank of China",52,80,"15966.61","9929.25","AA-","A+",,
"Philip Morris International",53,"-","15964.00","-","AAA-","-",,
"Cisco",54,63,"15468.30","12865.33","AAA-","AAA-",,
"AXA",55,58,"15030.92","13406.48","AA","AA-",,
"Nike",56,30,"14942.50","18619.39","AAA","AAA",,
"Toshiba",57,55,"14714.71","14185.21","AA","AA-",,
"Deutsche Bank",58,62,"14572.48","12905.52","AAA-","AA+",,
"NTT Group",59,"-","14273.00","-","AA","-",,
"Sberbank",60,75,"14159.60","10772.28","AA+","AA+",,
"Bank of China",61,64,"14145.07","12857.41","AA+","AA-",,
"J.P. Morgan",62,70,"13775.10","11602.32","AA+","AA+",,
"Bradesco",63,46,"13610.05","15692.18","AAA-","AAA-",,
"Sinopec",64,108,"13517.54","8126.94","A+","A-",,
"Barclays",65,57,"13435.63","13551.79","AA","AA+",,
"Total",66,61,"13310.90","12968.13","AA-","AA-",,
"CVS",67,85,"13135.70","9421.20","AA","AA-",,
"PetroChina",68,77,"12994.22","10491.34","AA","AA",,
"ING (Group)",69,59,"12787.00","13256.00","AA","AA",,
"Comcast",70,65,"12765.20","12472.55","AA+","AA+",,
"Allianz",71,74,"12657.05","10950.58","AA+","AA",,
"Sam's Club",72,72,"12466.20","11517.26","AA+","AA-",,
"Itaú",73,60,"12442.18","13171.03","AA+","AA",,
"Walgreens",74,71,"12330.00","11563.82","AA-","AA-",,
"BP",75,78,"11939.70","10222.25","A+","A",,
"MUFG",76,104,"11595.90","8314.51","AA","AA-",,
"3M",77,76,"11471.80","10716.52","AA","AA+",,
"NTT docomo",78,"-","11327.57","-","AAA-","-",,
"Porsche",79,"-","11241.40","-","AAA","-",,
"Movistar",80,54,"11135.00","14412.43","AAA-","AAA-",,
"KPMG",81,"-","10986.00","-","AAA-","-",,
"eBay",82,93,"10892.80","8959.10","AAA-","AAA",,
"FedEx",83,79,"10571.60","10072.20","AA","AA+",,
"SAP",84,91,"10510.65","9041.58","AA+","AAA-",,
"TD",85,100,"10400.77","8498.54","AAA","AA-",,
"RBC",86,97,"10276.71","8646.80","AAA-","AA+",,
"Generali",87,73,"10183.20","11167.70","AA","AA",,
"China Telecom",88,121,"9973.63","7356.94","AA-","AA-",,
"Banco do Brasil",89,125,"9883.37","7264.48","AAA-","AA",,
"SoftBank",90,131,"9869.09","6840.75","AA-","A+",,
"Credit Suisse",91,102,"9820.37","8368.45","AA+","AA+",,
"Mitsubishi Corporation",92,27,"9688.58","19488.09","AA-","AA",,
"Lowe's",93,94,"9612.02","8882.22","AA","AA-",,
"Sony",94,66,"9597.11","12358.35","AA","AA+",,
"Panasonic",95,89,"9589.04","9233.14","AA-","AA-",,
"China Unicom",96,112,"9507.49","7943.99","A+","A+",,
"TIM",97,114,"9356.45","7859.38","AA","AA+",,
"Caterpillar",98,105,"9300.52","8253.24","AA-","AA+",,
"H&M",99,99,"9294.50","8596.39","AA","AA",,
"Boeing",100,92,"9248.68","9021.69","AA-","AA",,
"Time Warner Cable",101,90,"🔒","🔒","🔒","🔒",,
"China Life Insurance Company",102,98,"🔒","🔒","🔒","🔒",,
"China Life",103,"-","🔒","🔒","🔒","🔒",,
"DHL",104,107,"🔒","🔒","🔒","🔒",,
"Accenture",105,130,"🔒","🔒","🔒","🔒",,
"BT",106,82,"🔒","🔒","🔒","🔒",,
"TimeWarner",107,101,"🔒","🔒","🔒","🔒",,
"Carrefour",108,96,"🔒","🔒","🔒","🔒",,
"Woolworths",109,123,"🔒","🔒","🔒","🔒",,
"E.ON",110,84,"🔒","🔒","🔒","🔒",,
"L'Oreal",111,"-","🔒","🔒","🔒","🔒",,
"Gazprom",112,142,"🔒","🔒","🔒","🔒",,
"Starbucks",113,"-","🔒","🔒","🔒","🔒",,
"EDF",114,117,"🔒","🔒","🔒","🔒",,
"Costco",115,119,"🔒","🔒","🔒","🔒",,
"Renault",116,109,"🔒","🔒","🔒","🔒",,
"Fox",117,124,"🔒","🔒","🔒","🔒",,
"BBVA",118,127,"🔒","🔒","🔒","🔒",,
"Philips",119,136,"🔒","🔒","🔒","🔒",,
"DirecTV",120,106,"🔒","🔒","🔒","🔒",,
"Canon",121,88,"🔒","🔒","🔒","🔒",,
"ASDA",122,86,"🔒","🔒","🔒","🔒",,
"United Healthcare",123,81,"🔒","🔒","🔒","🔒",,
"Visa",124,129,"🔒","🔒","🔒","🔒",,
"Morgan Stanley",125,143,"🔒","🔒","🔒","🔒",,
"Capital One",126,194,"🔒","🔒","🔒","🔒",,
"Danone",127,126,"🔒","🔒","🔒","🔒",,
"Goldman Sachs",128,87,"🔒","🔒","🔒","🔒",,
"Macy's",129,144,"🔒","🔒","🔒","🔒",,
"CSCEC",130,168,"🔒","🔒","🔒","🔒",,
"China Construction",131,"-","🔒","🔒","🔒","🔒",,
"UBS",132,152,"🔒","🔒","🔒","🔒",,
