"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Walmart",1,1,"41365.13","40615.97","AA","AA",,
"Google",2,5,"36191.03","29260.62","AAA+","AAA",,
"Coca-Cola",3,2,"34843.57","32727.85","AAA+","AAA+",,
"IBM",4,3,"33705.90","31530.02","AA","AA",,
"Microsoft",5,4,"33604.48","30882.04","AAA+","AAA+",,
"GE",6,6,"31909.02","26653.60","AA+","AA",,
"Vodafone",7,8,"28995.13","24646.68","AAA","AAA",,
"HSBC",8,7,"28472.15","25364.17","AAA+","AAA+",,
"hp",9,9,"27383.14","23837.45","AAA-","AA+",,
"Toyota",10,10,"27318.67","21994.59","AAA","AAA",,
"at&t",11,14,"26585.18","19849.94","AA+","AA+",,
"Bank of America",12,11,"26046.91","21017.43","AAA+","AAA",,
"Santander",13,41,"25576.48","10839.71","AAA+","AA",,
"Verizon",14,15,"23028.80","18853.74","AA","AA",,
"WELLS FARGO",15,23,"21915.51","14507.95","AA","AA",,
"Budweiser",16,19,"21278.86","16691.58","AAA-","AAA-",,
"Tesco",17,20,"20654.43","16407.65","AAA-","AA+",,
"McDonald's",18,12,"20192.49","20002.80","AAA-","AAA-",,
"Apple",19,27,"19829.11","13648.13","AAA-","AA",,
"Nokia",20,"-","19557.69","-","AAA-","-",,
"The Home Depot",21,24,"19013.30","14309.74","AA-","AA-",,
"Samsung",22,28,"18925.29","13540.83","AA+","AA",,
"China Mobile",23,16,"18672.74","17195.98","AA+","AA+",,
"Orange",24,17,"18351.76","16798.54","AA","AA",,
"Mitsubishi Group",25,"-","17805.35","-","AA+","-",,
"Shell",26,30,"16997.06","12376.49","AAA-","AAA-",,
"Intel",27,25,"16641.97","13976.34","AA+","AA",,
"BMW",28,26,"16616.43","13659.41","AAA-","AAA-",,
"AXA",29,45,"16402.58","10212.85","AA-","A+",,
"Pepsi",30,21,"15990.72","15034.47","AA+","AA-",,
"L’Oréal",31,37,"15889.62","11234.12","AAA-","AAA-",,
"Nike",32,22,"15808.01","14582.91","AAA","AAA-",,
"Target",33,31,"15224.11","12252.56","AA","AA",,
"Siemens",34,66,"14709.20","8208.72","AA+","AA+",,
"Citi",35,54,"14362.35","9809.59","A+","A",,
"BNP Paribas",36,58,"14059.82","9360.48","AA","AA-",,
"Goldman Sachs",37,89,"13886.94","6752.70","AAA+","AAA-",,
"Mercedes-Benz",38,52,"13883.32","9844.03","A+","AAA-",,
"Walt Disney",39,18,"13435.48","16749.57","AAA","AAA",,
"Chase",40,64,"13399.83","8746.50","AA","A+",,
"Christian Dior",41,441,"13343.13","1438.00","AA","AA-",,
"Amazon.com",42,79,"13339.54","7465.54","AA","AA-",,
"Bradesco",43,75,"13298.90","7698.39","AAA-","AA",,
"UPS",44,32,"13169.64","11873.05","AA+","AA+",,
"Barclays",45,77,"13133.71","7582.58","AA","A-",,
"Honda",46,35,"13083.21","11460.67","AA+","AA+",,
"GDF Suez",47,40,"12877.58","11015.71","A+","AA+",,
"Allianz",48,65,"12836.06","8224.41","AA","A+",,
"Oracle",49,39,"12775.32","11105.96","AA+","AA+",,
"American Express",50,50,"12737.04","9944.48","AA","AA",,
"Ford",51,53,"12651.64","9821.62","AA","A+",,
"Sony",52,34,"12647.74","11597.35","AAA","AAA",,
"BP",53,38,"12113.65","11228.76","AA+","AA+",,
"ICBC",54,48,"12082.77","10030.96","AA+","A+",,
"China Construction Bank",55,62,"12076.47","9023.65","AA+","AA",,
"Comcast",56,36,"11979.28","11382.86","AA+","AA",,
"JP Morgan",57,69,"11732.33","8071.69","AA-","AA-",,
"Sberbank",58,148,"11729.35","4530.63","AA+","AA-",,
"Société Générale",59,112,"11580.24","5852.23","AA-","A-",,
"CISCO",60,42,"11480.29","10794.22","AA+","AA+",,
"Volkswagen",61,44,"11468.14","10242.28","AA+","AA+",,
"Chevron",62,49,"11463.88","9979.83","AA","A+",,
"Heineken",63,43,"11434.76","10348.01","AAA-","AA",,
"NTT Group",64,"-","11247.47","-","AA+","-",,
"Tata Group",65,"-","11216.18","-","AAA-","-",,
"Nestlé",66,"-","11178.31","-","AAA-","-",,
"BBVA",67,106,"10727.47","6007.54","AA-","A+",,
"Nissan",68,73,"10411.82","7742.35","AA","AA-",,
"T-Mobile",69,72,"10125.91","7760.90","AA","AA-",,
"Walgreens",70,59,"9983.43","9218.68","AA-","A+",,
"Avon",71,87,"9917.14","6961.98","AA-","AA-",,
"Deutsche Bank",72,91,"9862.18","6702.50","AA-","AA-",,
"Lowe's",73,68,"9784.20","8172.88","AA-","AA-",,
"Dell",74,67,"9749.58","8200.11","AAA-","AAA-",,
"ExxonMobil",75,29,"9683.45","13359.91","AA","AA",,
"Movistar",76,82,"9666.03","7125.91","AA+","AA-",,
"Bank of China",77,84,"9615.32","7052.78","AA","AA",,
"Carrefour",78,60,"9436.24","9120.23","AA+","A+",,
"Sam's Club",79,47,"9398.11","10125.71","A+","A+",,
"ASDA",80,107,"9122.07","5967.23","AA","AA-",,
"Hitachi Group",81,"-","9094.80","-","A+","-",,
"Toshiba",82,88,"8948.72","6803.94","AA","AA",,
"Generali",83,80,"8868.06","7273.35","AA","A",,
"Telecom Italia",84,86,"8865.99","7004.58","AA+","AA+",,
"Johnson & Johnson",85,"-","8715.09","-","AA+","-",,
"BT",86,92,"8685.35","6649.13","AA","AA",,
"Fedex",87,98,"8587.78","6344.34","AA-","AA-",,
"TimeWarner",88,33,"8468.64","11816.88","AA+","AA+",,
"Credit Suisse",89,76,"8430.03","7668.20","AA","AA+",,
"UniCredit",90,211,"8341.95","3102.87","A+","BBB",,
"Philips",91,117,"8321.26","5599.96","AA+","AA+",,
"H&M",92,145,"8298.47","4578.17","AAA-","A+",,
"UBS",93,78,"8261.11","7568.00","AA-","AA-",,
"Telefonica",94,101,"8154.50","6165.39","AA-","AA-",,
"Porsche",95,125,"7993.89","5430.51","AAA+","AAA+",,
"Kellogg's",96,71,"7982.16","7856.57","AAA+","AAA+",,
"EDF Energy",97,136,"7922.12","4904.81","AA+","AA+",,
